source,valid,error,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,fidelity,post_prob,mo_score,mo_phys_score,pareto_rank,energy_nbar_target,energy_nbar_prime,energy_log_total,energy_penalty,rel_error,eta_real,eta_imag,prep_fidelity,circuit_depth,circuit_size,runtime_sec,optimizer,seed_rank,seed_method,seed_n_coeff,seed_n_trotter,seed_fidelity,seed_post_prob,seed_mo_score,seed_mo_phys_score,opt_success,opt_message,opt_fun,opt_nfev
local_search,True,,1.916666666666667,0.9750000000000001,0.675,24,100,injection,0.5381339270557014,0.7331401587850863,0.6281143150169871,0.6150484946285417,1,11.059493396652996,1.2927404130439522,2.5916836974177895,0.013065820388445447,0.9264304993276642,1.487739368531337,-8.743961251741496e-14,1.0,1502,2304,3.829803416010691,Nelder-Mead,2,injection,24,100,0.5218046030151315,0.7425720374420258,0.6224769129916174,0.6074791388923474,False,Maximum number of function evaluations has been exceeded.,0.3849515053714583,18
local_search,True,,1.9666666666666668,1.0499999999999998,0.7249999999999999,24,100,injection,0.5447115624661579,0.7263017747623456,0.6289872610417009,0.6145682019017686,1,12.274132257116403,1.5721565852051573,2.697749924408123,0.014419059139932288,0.9142395681337202,1.4898070115328095,-8.867304220764776e-14,1.0,1502,2304,3.6066689169965684,Nelder-Mead,1,injection,24,100,0.5440086024975846,0.715299879251036,0.6238022825207096,0.6088045084214395,False,Maximum number of function evaluations has been exceeded.,0.38543179809823136,18
local_search,True,,1.938331430533519,1.0,0.75,24,100,injection,0.5488166205215991,0.7129764150705629,0.625534416823432,0.6119080021369226,1,11.570901482814747,1.3810978455418155,2.6356228190270414,0.013626414686509351,0.9066985450845688,1.4816286717718612,-8.654923594738885e-14,1.0,1502,2304,3.699700416997075,Powell,1,injection,24,100,0.5440086024975846,0.715299879251036,0.6238022825207096,0.6088045084214395,False,Maximum number of function evaluations has been exceeded.,0.38809199786307735,18
local_search,True,,1.9498314437884694,1.0,0.6,24,100,injection,0.5247614230669265,0.7415095474524128,0.623791315536567,0.6099108427812817,1,11.851511617363238,1.3810978455418155,2.6555357728660485,0.013880472755285275,0.9516448305619598,1.4774999959149246,-8.663521893915604e-14,1.0,1502,2304,3.8702397079905495,Powell,2,injection,24,100,0.5218046030151315,0.7425720374420258,0.6224769129916174,0.6074791388923474,False,Maximum number of function evaluations has been exceeded.,0.3900891572187183,18
grid,True,,2.0,1.0,0.6,24,100,injection,0.5218046030151315,0.7425720374420258,0.6224769129916174,0.6074791388923474,1,13.154116418008241,1.3810978455418155,2.743109335060812,0.014997774099270082,0.957301507387813,1.4743867275727336,-8.652044786588719e-14,1.0,1502,2304,3.7514098339888733,,,,,,,,,,,,,
grid,True,,2.0,1.0,0.9,24,100,injection,0.5671842555446788,0.5763511489965033,0.5717493308923955,0.5567515567931255,1,13.154116418008241,1.3810978455418155,2.743109335060812,0.014997774099270082,0.8735533668867441,1.3542343617452222,-7.824805226901659e-14,1.0,1502,2304,3.5809291249897797,,,,,,,,,,,,,
grid,True,,2.0,1.0,0.99,24,100,injection,0.5696394247477824,0.29944859748979424,0.4130105650169456,0.39801279091767555,1,13.154116418008241,1.3810978455418155,2.743109335060812,0.014997774099270082,0.869192999970672,0.978248803609043,-5.5626162173420526e-14,1.0,1502,2304,3.710327209002571,,,,,,,,,,,,,
grid,True,,5.0,3.0,0.3,48,200,injection,0.9450877877860263,0.15384478204190602,0.3813093556712297,0.29118041138833484,1,5506.11646005166,100.35781806122796,8.631855679333087,0.09012894428289484,0.2410451482463951,0.903161934792179,-7.952407541593839e-14,1.0,3002,4604,7.334955250000348,,,,,,,,,,,,,
grid,True,,5.0,3.0,0.3,48,100,injection,0.945442826787875,0.1536009575196869,0.3810786316165432,0.29094968733364834,1,5506.11646005166,100.35781806122796,8.631855679333087,0.09012894428289484,0.24021951977255715,0.9026154462769237,-3.992614756437943e-14,1.0,1502,2304,3.7822266669827513,,,,,,,,,,,,,
grid,True,,5.0,4.0,0.3,24,200,injection,0.9582758117121897,0.1498684634271854,0.378966124397346,0.2874493435721587,1,5506.11646005166,744.739580626089,8.74063366515306,0.09151678082518733,0.20866455584719046,0.8976118027025508,-8.10063465072688e-14,1.0,3002,4604,7.068486957985442,,,,,,,,,,,,,
