stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.3,0.03,0.35,0.0,0.39295289749022233,1,,5.080581086946978e-07,1.2705743227405124,0.2643241806223761,0.2536539719685151,0.9861479160697232,0.9999999999999993,0.08322284521174665,0.2533896477878927,1
coarse,0.3,0.03,0.425,0.0,0.39295289749022233,1,,4.462309850516988e-07,1.2098510588919498,0.2694579713304489,0.2623288644849249,0.9869163589086865,1.0000000000000002,0.08088152165765014,0.26205940651359444,1
coarse,0.3,0.03,0.5,0.0,0.39295289749022233,1,,3.878121611622376e-07,1.1591188338225271,0.2740063075693948,0.2702230055010649,0.9875428202354347,1.0000000000000004,0.07892141586592895,0.26994899919349546,1
coarse,0.3,0.03,0.575,0.0,0.39295289749022233,1,,3.333174990460819e-07,1.1182950073923692,0.2778781049169927,0.2771463138141122,0.988006836037248,1.0000000000000009,0.07743760056572227,0.2768684357091952,1
coarse,0.3,0.03,0.6499999999999999,0.0,0.39295289749022233,1,,2.8315286815239205e-07,1.08741718338333,0.2809746147968959,0.2829228161776778,0.9882802361814861,0.9999999999999993,0.07654986550776507,0.2826418415628809,1
coarse,0.3,0.03,0.725,0.0,0.39295289749022233,1,,2.376026956296684e-07,1.0667385736237678,0.2831865516096763,0.28738919936927476,0.9883240828854282,1.0000000000000004,0.07640653478130086,0.28710601281766507,1
coarse,0.3,0.03,0.7999999999999999,0.0,0.39295289749022233,1,,1.9682235252727054e-07,1.056833201787092,0.2843903247680455,0.29039558359246415,0.988084384625997,0.9999999999999998,0.07718683622873491,0.2901111932676961,1
coarse,0.3,0.03,0.875,0.0,0.39295289749022233,1,,1.6083664111654628e-07,1.0587298218803332,0.2844429961374286,0.29181021720297085,0.9874859358784719,0.9999999999999998,0.07910140365862092,0.2915257742068334,1
coarse,0.3,0.03,0.95,0.0,0.39295289749022233,1,,1.2954607120363448e-07,1.0741013125907204,0.2831753345396146,0.29153102984161405,0.9864232791601582,1.0000000000000004,0.08239150696474228,0.29124785450707447,1
coarse,0.3,0.09166666666666667,0.35,0.0,0.28367897651757623,1,,9.591882617066005e-07,1.2772393356561529,0.25985071422175204,0.24527054975390164,0.9858511872907192,0.9999999999999998,0.08410949027690365,0.2450106990396799,1
coarse,0.3,0.09166666666666667,0.425,0.0,0.28367897651757623,1,,8.434315383887281e-07,1.2085681389236278,0.265779040936345,0.25530926388029884,0.986695054945282,0.9999999999999999,0.08156269078052242,0.2550434848393625,1
coarse,0.3,0.09166666666666667,0.5,0.0,0.28367897651757623,1,,7.334941274361739e-07,1.151806433251215,0.27100275404079877,0.2644917938009634,0.9873471073216139,0.9999999999999994,0.07953896113976476,0.2642207910469226,1
coarse,0.3,0.09166666666666667,0.575,0.0,0.28367897651757623,1,,6.305057432820504e-07,1.1069287421274185,0.275390518761748,0.27253943916823226,0.9877762595805651,0.9999999999999996,0.07817845105729235,0.2722640486494705,1
coarse,0.3,0.09166666666666667,0.6499999999999999,0.0,0.28367897651757623,1,,5.35372661647493e-07,1.074058136578589,0.2787976840335008,0.2791963139171421,0.9879391519501407,0.9999999999999992,0.07765580483730461,0.2789175162331086,1
coarse,0.3,0.09166666666666667,0.725,0.0,0.28367897651757623,1,,4.487536628960953e-07,1.0536266276976,0.2810613768516367,0.2842266977250254,0.9877751063246815,0.9999999999999997,0.07818213886597948,0.28394563634817377,1
coarse,0.3,0.09166666666666667,0.7999999999999999,0.0,0.28367897651757623,1,,3.7104363648232663e-07,1.0465544982185195,0.28199395221265594,0.2874166436397014,0.9871990551017422,0.9999999999999996,0.08000295275256349,0.2871346496874887,1
coarse,0.3,0.09166666666666667,0.875,0.0,0.28367897651757623,1,,3.0236920256498934e-07,1.0544867494897558,0.2813740750273416,0.28858333493882454,0.986091433069046,0.9999999999999989,0.08339234656415906,0.2883019608637972,1
coarse,0.3,0.09166666666666667,0.95,0.0,0.28367897651757623,1,,2.425999081623331e-07,1.0801446584389933,0.27893420607040853,0.28759841788940727,0.9842836021768488,0.9999999999999993,0.08864648279303328,0.2873194836833369,1
coarse,0.3,0.15333333333333332,0.35,0.0,0.1870842225542153,1,,1.7396168188188454e-06,1.2866632501728235,0.2563030588592185,0.23681095889925927,0.9863469488907641,1.0000000000000002,0.08262279076996955,0.23655465584040006,1
coarse,0.3,0.15333333333333332,0.425,0.0,0.1870842225542153,1,,1.532179465080219e-06,1.2084161210529283,0.26318435555747144,0.24841072844928447,0.9873399515264064,0.9999999999999999,0.07956144943876303,0.248147544093727,1
coarse,0.3,0.15333333333333332,0.5,0.0,0.1870842225542153,1,,1.3337535227364583e-06,1.144561575141173,0.26918934374841896,0.25911129776360464,0.9880392992439169,0.9999999999999996,0.07733272514299203,0.2588421084198562,1
coarse,0.3,0.15333333333333332,0.575,0.0,0.1870842225542153,1,,1.1467697682565614e-06,1.0952181080148597,0.27412160445206196,0.26849003069578886,0.9883940456172452,0.9999999999999999,0.0761772747699564,0.2682159090913368,1
coarse,0.3,0.15333333333333332,0.6499999999999999,0.0,0.1870842225542153,1,,9.732160387576627e-07,1.0606803556422328,0.27776103920725687,0.27616660777579577,0.9883319148296024,0.9999999999999989,0.07638090458484137,0.27588884673658853,1
coarse,0.3,0.15333333333333332,0.725,0.0,0.1870842225542153,1,,8.145857990360383e-07,1.0417038241567822,0.27985526133133093,0.2817985077688313,0.987750695902027,0.9999999999999993,0.07826015620343765,0.28151865250749997,1
