stage,r_target,r_prime,kernel_beta,disp_phase,theory_gamma,theory_ok,theory_reason,tail_mass_est,n_eff,post_prob,pde_error,fidelity,rho_purity,pauli_rmse,objective,feasible
coarse,0.4833333333333333,0.4,0.35,0.0,0.06898020752796297,1,,2.3916125774681163e-05,1.3843335395645557,0.21317982523570175,0.19006085769194747,0.9751375407803485,0.9999999999999996,0.11149542416541491,0.18984767786671178,1
refine,0.4833333333333333,0.38833333333333336,0.35,0.0,0.07958782428573818,1,,2.192677841028612e-05,1.3808871782929457,0.21329444388318633,0.19286463697571252,0.9742249513140678,1.0,0.11352323261326805,0.19265134253182933,1
refine,0.40333333333333327,0.35000000000000003,0.35,0.0,0.050241903165696544,1,,1.2841439410715694e-05,1.3665382944142048,0.23177921764479875,0.193535631413632,0.9844796505490291,1.0000000000000009,0.0880918539110496,0.1933038521959872,1
refine,0.4833333333333333,0.375,0.35,0.0,0.09201779615175609,1,,1.9813513107647118e-05,1.3778046107954693,0.21355979830932378,0.1956723619313176,0.9733729517889731,1.0,0.11538424548227365,0.19545880213300826,1
refine,0.4833333333333333,0.4,0.39,0.0,0.06898020752796297,1,,2.244191009204144e-05,1.3216425681090915,0.21728545453464757,0.19571383336862683,0.9752747529257185,1.0000000000000004,0.11118733532710014,0.19549654791409218,1
refine,0.40333333333333327,0.3383333333333334,0.35,0.0,0.061965132716481575,1,,1.1744182741524334e-05,1.3576815523973564,0.2316514854735111,0.19706858866298854,0.9831980524569617,0.9999999999999993,0.09165682610432861,0.19683693717751502,1
refine,0.4833333333333333,0.38833333333333336,0.39,0.0,0.07958782428573818,1,,2.056750182899414e-05,1.3198696616022088,0.21729160611061668,0.19832428539261718,0.9743581841792225,0.9999999999999988,0.11322944807067035,0.19810699378650656,1
refine,0.4833333333333333,0.35000000000000003,0.35,0.0,0.11623654720215087,1,,1.6292775428361495e-05,1.3735503883493414,0.21439648521083582,0.20015412373742708,0.9721977385325172,0.9999999999999987,0.11790305650720496,0.19993972725221623,1
refine,0.5633333333333332,0.4,0.35,0.0,0.12521713354866348,1,,2.9172113297004643e-05,1.415367807082033,0.1963498030444736,0.20025306720511435,0.9644529338763901,0.9999999999999992,0.1333174146981738,0.20005671740206987,1
coarse,0.4833333333333333,0.4,0.425,0.0,0.06898020752796297,1,,2.116219274561626e-05,1.27234908069994,0.22064355904154048,0.20083304122441079,0.9752951380662248,1.0,0.11114149075339841,0.20061239766536926,1
refine,0.40333333333333327,0.35000000000000003,0.39,0.0,0.050241903165696544,1,,1.205062793052658e-05,1.3040027674372636,0.23646076284090095,0.20093732805005748,0.9850015459453683,0.9999999999999993,0.08659807750357877,0.2007008672872166,1
refine,0.4833333333333333,0.375,0.39,0.0,0.09201779615175609,1,,1.8578094762355946e-05,1.318548727839827,0.21743973595712993,0.20094030226585283,0.9735037178949344,0.9999999999999996,0.11510056929717095,0.20072286252989568,1
refine,0.4833333333333333,0.4,0.4275,0.0,0.06898020752796297,1,,2.1071296234853598e-05,1.2690289517972368,0.22087403888661,0.2012020751048782,0.975292677950785,1.000000000000001,0.11114702436236398,0.2009812010659916,1
refine,0.5633333333333332,0.38833333333333336,0.35,0.0,0.1358247503064387,1,,2.6625426832294075e-05,1.4142090753087508,0.19705732812619556,0.20144708747672643,0.9642464574435669,1.0000000000000007,0.1337040436120644,0.20125003014860024,1
refine,0.4833333333333333,0.4,0.43,0.0,0.06898020752796297,1,,2.098047779641732e-05,1.2657357053838891,0.22110319516532564,0.20157137229769537,0.9752896695336757,1.0000000000000002,0.11115379090774312,0.20135026910253004,1
coarse,0.4833333333333333,0.3383333333333334,0.35,0.0,0.1279597767529359,1,,1.4836135436513409e-05,1.3719744923849169,0.21491891716445422,0.20200326147813263,0.9717971670350467,0.9999999999999992,0.1187493851877838,0.20178834256096817,1
refine,0.5633333333333332,0.375,0.35,0.0,0.1482547221724566,1,,2.3949093414410427e-05,1.4128568019481724,0.1979411866256306,0.20273788197633522,0.96407046738069,0.999999999999999,0.1340327061192711,0.20253994078970958,1
refine,0.5633333333333332,0.4,0.39,0.0,0.12521713354866348,1,,2.7332504657251455e-05,1.3566773548802475,0.1995950724302413,0.2032997399757152,0.9644631272145383,0.9999999999999992,0.1332982985365183,0.20310014490328496,1
refine,0.4833333333333333,0.38833333333333336,0.43,0.0,0.07958782428573818,1,,1.922226831729823e-05,1.265377814388808,0.2210165694795482,0.20394408912302092,0.9743877508405776,1.0000000000000004,0.11316414882687653,0.20372307255354138,1
refine,0.40333333333333327,0.3383333333333334,0.39,0.0,0.061965132716481575,1,,1.1020890908319814e-05,1.2974043473319108,0.23618477952036182,0.2042349330730263,0.9836657238802361,1.0,0.09037221951397502,0.20399874829350592,1
