parameter,value,status,fidelity,delta_fidelity,map_err,vec_err,eta_err,post_prob,error
position_scale,0.6,ok,0.9831390942758462,-0.016300791639379475,0.1615651214493955,0.13095828138091056,0.48346234338443655,0.0826112615059553,
position_scale,0.7,ok,0.9973193116720225,-0.0021205742432032215,0.0663322549271007,0.05184490074573714,0.4072805739204428,0.0765369507888183,
position_scale,0.75,ok,0.9992867482000239,-0.00015313771520175656,0.03779311948262791,0.026716303846463275,0.3822758155388334,0.07419246644401789,
position_scale,0.8,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
position_scale,0.85,ok,0.997897692925609,-0.0015421929896166642,0.057166710635644095,0.0458991947702462,0.34438386209369637,0.06988178465176492,
position_scale,0.9,ok,0.9934488329179458,-0.0059910529972798665,0.09331118885624488,0.08120571339436981,0.3336550726847959,0.06782629924918361,
position_scale,1.0,ok,0.9858686116243078,-0.013571274290917867,0.14934990003292475,0.11972446260875981,0.3108847752055926,0.06375527786875343,
beta,0.6,ok,0.9461149073777431,-0.05332497853748264,0.25358106910815237,0.23865051402249834,0.43646414354733876,0.05245552683660589,
beta,0.7,ok,0.060159426243219676,-0.939280459672006,8.854268928168796,3.9525307028921657,2.7817696943299604,0.024388867397030025,
beta,0.8,ok,0.6950997448096605,-0.3043401411055652,0.6921857841041904,0.662300875879569,1.2751733241824377,0.07222359825117432,
beta,0.85,ok,0.9513237863274357,-0.04811609958778995,0.25083125639411413,0.22620084167279353,0.5610455209840747,0.07189579875836125,
beta,0.9,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
beta,0.95,ok,0.9967356122368327,-0.0027042736783929877,0.08685445412858647,0.05722830497770862,0.4065577848610111,0.07242020528846409,
r_prime,2.0,ok,0.26795343983865955,-0.7314864460765662,1.525804703552755,1.6528737549344912,45.98597677364706,0.07483638547472633,
r_prime,3.0,ok,0.11720259622181445,-0.8822372896934112,6.381617628071065,2.7444916107722603,1.9822964860739092,0.056243921316228546,
r_prime,4.0,ok,0.9994398859152257,0.0,0.03605157751775439,0.023673360310367722,0.3617853374809705,0.07203207973887085,
r_prime,5.0,ok,0.736155458809764,-0.26328442710546174,0.6750774051809837,0.5986724709223712,0.9997216711702481,0.2791883587529138,
r_prime,6.0,ok,0.8926535420827145,-0.10678634383251118,0.3391151011512904,0.34677868311589416,0.9450092042353764,0.2105153925427834,
