parameter,value,fidelity,delta_from_baseline
beta,0.88,0.9977684299209691,-0.0016714559942565543
beta,0.92,0.9981694271855157,-0.001270458729709989
r_prime,3.8,0.9671907525757844,-0.03224913333944135
r_prime,4.2,0.9833024540253217,-0.01613743188990402
r_target,7.5,0.9452846865459771,-0.05415519936924862
r_target,8.5,0.9215317419444137,-0.07790814397081203
position_scale,0.75,0.9992867482000239,-0.00015313771520175656
position_scale,0.8500000000000001,0.997897692925609,-0.0015421929896166642
total_time,0.9,0.9998977191650973,0.00045783324987158647
total_time,1.1,0.9972621250561092,-0.002177760859116473
n_quad,220,0.9969113844671004,-0.002528501448125331
n_quad,240,0.9994398859152257,0.0
n_quad,260,0.9979278490776535,-0.0015120368375721727
n_coeff,56,0.994503622863287,-0.004936263051938727
n_coeff,64,0.9994398859152257,0.0
n_fock,64,0.9994398859152257,0.0
n_fock,72,0.9954204251899339,-0.004019460725291801
