boundary_condition,beta,epsilon,trunc_multiplier,h1,K,Q,M_DV,m_c,coeff_l1_norm,classical_exact_fidelity,classical_relative_error
dirichlet,0.6,0.1,2.0,0.10167937678732318,8.134350142985854,4,640,10,1.0801358890639834,0.9999650453505294,0.03018731434943359
dirichlet,0.65,0.1,2.0,0.10167937678732318,7.320915128687269,4,576,10,1.1249120780877264,0.9998793822130696,0.03549901351574352
dirichlet,0.7,0.1,2.0,0.10167937678732318,6.7108388679633295,4,528,10,1.1830556354233444,0.99982259723151,0.04363862682503185
dirichlet,0.75,0.1,2.0,0.10167937678732318,6.100762607239391,4,480,9,1.2507776020298158,0.9998156475588595,0.05351752210070013
dirichlet,0.8,0.1,2.0,0.10167937678732318,5.694045100090098,4,448,9,1.3381548890751829,0.9997517645163523,0.06873798981157325
dirichlet,0.85,0.1,2.0,0.10167937678732318,5.490686346515452,4,432,9,1.4541880306028303,0.9998058782588336,0.09071934502933128
dirichlet,0.9,0.1,2.0,0.10167937678732318,5.083968839366159,4,400,9,1.5765910262376828,0.9986656338298707,0.11640046644580411
dirichlet,0.95,0.1,2.0,0.10167937678732318,4.8806100857915125,4,384,9,1.7423425933066359,0.9966313722296122,0.15106303238532606
neumann,0.6,0.1,2.0,0.10774939365999787,8.188953918159838,4,600,10,1.0791685831962725,0.9996981927907983,0.02809697274503446
neumann,0.65,0.1,2.0,0.10774939365999787,7.326958768879855,4,544,10,1.1250525382836503,0.9994773322801295,0.04557103206333963
neumann,0.7,0.1,2.0,0.10774939365999787,6.680462406919868,4,496,9,1.1821448186716903,0.9991900656066758,0.061457035649782096
neumann,0.75,0.1,2.0,0.10774939365999787,6.249464832279877,4,464,9,1.2566130925761638,0.9987917309243289,0.07414100310801976
neumann,0.8,0.1,2.0,0.10774939365999787,5.8184672576398855,4,432,9,1.3445984203446217,0.9986512191854093,0.08101384798943531
neumann,0.85,0.1,2.0,0.10774939365999787,5.387469682999893,4,400,9,1.4471102151161384,0.9980964630933798,0.0871980408421038
neumann,0.9,0.1,2.0,0.10774939365999787,5.171970895679898,4,384,9,1.584828135378614,0.9980584419523866,0.07612732693914152
neumann,0.95,0.1,2.0,0.10774939365999787,4.956472108359902,4,368,9,1.7520400359953368,0.9981623216499103,0.055793679151833094
periodic,0.6,0.1,2.0,0.09196986029286058,8.09334770577173,4,696,10,1.0776899138949132,0.9997329285039115,0.029198798721712764
periodic,0.65,0.1,2.0,0.09196986029286058,7.357588823428847,4,640,10,1.1257606488625915,0.9998103470871703,0.04585604449435803
periodic,0.7,0.1,2.0,0.09196986029286058,6.621829941085962,4,576,10,1.1803623267118564,0.9999977609825769,0.06328246299664156
periodic,0.75,0.1,2.0,0.09196986029286058,6.25395049991452,4,544,10,1.2567848333359783,0.999923523595818,0.0761385279675124
periodic,0.8,0.1,2.0,0.09196986029286058,5.702131338157356,4,496,9,1.3385816038379674,0.9999420509855137,0.0871866418474059
periodic,0.85,0.1,2.0,0.09196986029286058,5.518191617571635,4,472,9,1.449794469734479,0.9997910429379127,0.08597991865804003
periodic,0.9,0.1,2.0,0.09196986029286058,5.150312176400193,4,448,9,1.5828204726427997,0.9996006718797733,0.0757129672416199
periodic,0.95,0.1,2.0,0.09196986029286058,4.966372455814471,4,432,9,1.7532918324731488,0.9993030589362294,0.04958822115616332
