boundary_condition,beta,epsilon,trunc_multiplier,h1,K,Q,M_DV,m_c,coeff_l1_norm,classical_exact_fidelity,classical_relative_error
dirichlet,0.6,0.1,1.0,0.10167937678732318,4.067175071492927,4,320,9,0.9357133460840276,0.9976657760843204,0.12920965022374234
dirichlet,0.65,0.1,1.0,0.10167937678732318,3.6604575643436346,4,288,9,0.959627869523867,0.9960011899061356,0.14966063662456466
dirichlet,0.7,0.1,1.0,0.10167937678732318,3.3554194339816648,4,264,9,0.9926002688928771,0.9948782701367632,0.16884759321314313
dirichlet,0.75,0.1,1.0,0.10167937678732318,3.0503813036196954,4,240,8,1.0259478198684018,0.9912073567214342,0.20188350504368535
dirichlet,0.8,0.1,1.0,0.10167937678732318,2.847022550045049,4,224,8,1.07337103706584,0.9877686288672729,0.23411096210141705
dirichlet,0.85,0.1,1.0,0.10167937678732318,2.745343173257726,4,216,8,1.1424228849752032,0.9849964357107747,0.2605499796670205
dirichlet,0.9,0.1,1.0,0.10167937678732318,2.5419844196830796,4,200,8,1.1971706204914943,0.9836271034176395,0.29717547800718647
dirichlet,0.95,0.1,1.0,0.10167937678732318,2.4403050428957562,4,192,8,1.280006847735709,0.9811676398374625,0.33064179510791514
neumann,0.6,0.1,1.0,0.10774939365999787,4.094476959079919,4,296,9,0.9302746215575491,0.9950561175289725,0.09042362147456243
neumann,0.65,0.1,1.0,0.10774939365999787,3.6634793844399276,4,272,9,0.9598798466400927,0.9961084279264397,0.06890047452027022
neumann,0.7,0.1,1.0,0.10774939365999787,3.340231203459934,4,248,8,0.9910316605835314,0.9964887423997171,0.05938497931190486
neumann,0.75,0.1,1.0,0.10774939365999787,3.1247324161399384,4,232,8,1.0354240300308146,0.9965863322112708,0.0649969477421305
neumann,0.8,0.1,1.0,0.10774939365999787,2.9092336288199427,4,216,8,1.0830810545323972,0.9967434660475796,0.08360956095867274
neumann,0.85,0.1,1.0,0.10774939365999787,2.6937348414999467,4,200,8,1.1326662891171906,0.997359667337961,0.10712701874644522
neumann,0.9,0.1,1.0,0.10774939365999787,2.585985447839949,4,192,8,1.207334467049141,0.9977395973305865,0.14758765154312078
neumann,0.95,0.1,1.0,0.10774939365999787,2.478236054179951,4,184,8,1.2905685066147106,0.9973717532186681,0.19569698254487966
periodic,0.6,0.1,1.0,0.09196986029286058,4.046673852885865,4,344,9,0.9280595575564825,0.9963318758486612,0.09285363769114549
periodic,0.65,0.1,1.0,0.09196986029286058,3.6787944117144233,4,320,9,0.9611518416261294,0.9964128147827149,0.07030879544898616
periodic,0.7,0.1,1.0,0.09196986029286058,3.310914970542981,4,288,9,0.9879730889714001,0.9974682268445305,0.05267928724108131
periodic,0.75,0.1,1.0,0.09196986029286058,3.12697524995726,4,272,9,1.0357048253699552,0.9988983231275058,0.03831974689861042
periodic,0.8,0.1,1.0,0.09196986029286058,2.851065669078678,4,248,8,1.0740107101347334,0.999722297477241,0.04384539333556406
periodic,0.85,0.1,1.0,0.09196986029286058,2.7590958087858173,4,232,8,1.1275452082555546,0.9973977373967955,0.09123860269714276
periodic,0.9,0.1,1.0,0.09196986029286058,2.5751560882000963,4,224,8,1.2048510192562931,0.9954792901056224,0.14337755959636342
periodic,0.95,0.1,1.0,0.09196986029286058,2.4831862279072356,4,216,8,1.2919350182970863,0.9928149712580248,0.19947602010150853
