boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
dirichlet,8.0,4.19,0.675,48,100,injection,0,True,,0.9948670263481206,0.9999948446419347,0.07351326677798845,0.07182936035329396,0.0022705472122900505,1.0,8.600313758882503,1502,2204,direct_injection,,,,1.0,0.9949943473873508,,,3,1000,pde,0.2704365454530017,0.9948670263481206,0.9974302112669942,1.0,0.9999948446419347,0.9948670263481206,grid
dirichlet,8.0,4.19,0.725,48,100,injection,0,True,,0.9948666245685188,0.9999948451184092,0.07351384388822255,0.0718321859973222,0.0022704422837187873,1.0,1.6279872697671973,1502,2204,direct_injection,,,,0.9999999999999998,0.9949939551171272,,,3,1000,pde,0.2704375523630788,0.9948666245685188,0.9974300098595985,1.0,0.9999948451184092,0.9948666245685188,grid
dirichlet,8.0,4.19,0.75,48,100,injection,0,True,,0.9948666245668205,0.9999948451184207,0.0735138439026789,0.07183218600926422,0.002270442281150847,1.0,0.9780428788826291,1502,2204,direct_injection,,,,1.0,0.9949939551158871,,,3,1000,pde,0.2704375523894385,0.9948666245668205,0.9974300098587472,1.0,0.9999948451184207,0.9948666245668205,grid
dirichlet,8.0,4.19,0.9,48,100,injection,0,True,,0.9948666245668205,0.9999948451184214,0.07351384390268004,0.071832186009266,0.002270442281150262,1.0,0.4852906339718916,1502,2204,direct_injection,,,,1.0000000000000004,0.9949939551158875,,,3,1000,pde,0.27043755238944056,0.9948666245668205,0.9974300098587472,1.0,0.9999948451184214,0.9948666245668205,grid
dirichlet,8.0,4.19,0.8,48,100,injection,0,True,,0.9948666245668203,0.999994845118421,0.07351384390267895,0.07183218600926738,0.0022704422811518,1.0,0.414628097354858,1502,2204,direct_injection,,,,1.0,0.9949939551158871,,,3,1000,pde,0.27043755238943856,0.9948666245668203,0.9974300098587471,1.0,0.999994845118421,0.9948666245668203,grid
dirichlet,8.16,4.19,0.675,48,100,injection,0,True,,0.994660831100716,0.9999928945495653,0.06643884063065096,0.07326546692017956,0.0026656145487972873,1.0,8.600314541462987,1502,2204,direct_injection,,,,1.0,0.9945870909173878,,,3,1000,pde,0.25706830306175693,0.994660831100716,0.9973268426652899,1.0,0.9999928945495653,0.994660831100716,grid
dirichlet,8.16,4.19,0.9,48,100,injection,0,True,,0.9946605420621965,0.9999928950785789,0.06643975428656895,0.07326746066967825,0.002665515316250442,1.0,0.48529083412930357,1502,2204,direct_injection,,,,1.0000000000000004,0.9945868151796478,,,3,1000,pde,0.2570700332850132,0.9946605420621965,0.9973266977586615,1.0,0.9999928950785789,0.9946605420621965,grid
dirichlet,8.16,4.19,0.8,48,100,injection,0,True,,0.9946605420621962,0.9999928950785794,0.06643975428656881,0.07326746066968189,0.0026655153162493416,1.0,0.41462789245628245,1502,2204,direct_injection,,,,1.0,0.9945868151796471,,,3,1000,pde,0.25707003328501293,0.9946605420621962,0.9973266977586613,1.0,0.9999928950785794,0.9946605420621962,grid
dirichlet,8.16,4.19,0.75,48,100,injection,0,True,,0.9946605420621953,0.9999928950785789,0.06643975428656772,0.07326746066968566,0.002665515316252939,1.0,0.9780426179316222,1502,2204,direct_injection,,,,1.0,0.9945868151796466,,,3,1000,pde,0.2570700332850107,0.9946605420621953,0.9973266977586609,1.0,0.9999928950785789,0.9946605420621953,grid
dirichlet,8.16,4.19,0.725,48,100,injection,0,True,,0.9946605420562212,0.9999928950785647,0.06643975426119396,0.07326746071089753,0.002665515318959155,1.0,1.6279870823930909,1502,2204,direct_injection,,,,1.0,0.9945868151730928,,,3,1000,pde,0.2570700332351504,0.9946605420562212,0.9973266977556658,1.0,0.9999928950785647,0.9946605420562212,grid
dirichlet,8.3,4.19,0.9,48,100,injection,0,True,,0.9925063086415077,0.9999908568625933,0.061195861423092225,0.08689229400367074,0.0030237759513981662,1.0,0.48529096374473213,1502,2204,direct_injection,,,,1.0,0.9921372325389524,,,3,1000,pde,0.2464493427160448,0.9925063086415077,0.9962461084699441,1.0,0.9999908568625933,0.9925063086415077,grid
dirichlet,8.3,4.19,0.8,48,100,injection,0,True,,0.9925063086415072,0.999990856862593,0.06119586142309196,0.08689229400367343,0.003023775951398767,1.0,0.4146277597709406,1502,2204,direct_injection,,,,0.9999999999999993,0.9921372325389513,,,3,1000,pde,0.2464493427160442,0.9925063086415072,0.9962461084699439,1.0,0.999990856862593,0.9925063086415072,grid
dirichlet,8.3,4.19,0.75,48,100,injection,0,True,,0.9925063086415061,0.9999908568625939,0.06119586142309084,0.08689229400368176,0.003023775951393425,1.0,0.978042448948589,1502,2204,direct_injection,,,,1.0,0.9921372325389513,,,3,1000,pde,0.24644934271604182,0.9925063086415061,0.9962461084699433,1.0,0.9999908568625939,0.9925063086415061,grid
dirichlet,8.3,4.19,0.725,48,100,injection,0,True,,0.9925063086333524,0.9999908568625773,0.061195861389671764,0.08689229405130831,0.00302377595400099,1.0,1.6279869610565278,1502,2204,direct_injection,,,,0.9999999999999996,0.992137232529953,,,3,1000,pde,0.24644934264773646,0.9925063086333524,0.9962461084658512,1.0,0.9999908568625773,0.9925063086333524,grid
dirichlet,8.3,4.19,0.675,48,100,injection,0,True,,0.9925062884879523,0.9999908563984226,0.061194735562396074,0.0868924117299932,0.0030238527053781943,1.0,8.600315048254897,1502,2204,direct_injection,,,,1.0,0.9921371927797056,,,3,1000,pde,0.2464470731577785,0.9925062884879523,0.9962460983551967,1.0,0.9999908563984226,0.9925062884879523,grid
