boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
neumann,8.0,4.35,0.3,24,100,injection,0,True,,0.9959230745818108,0.9999849402507709,0.055191995312303406,0.06398136275775196,0.0038807184938220943,1.0,0.273532957218619,1802,2504,direct_injection,,,,1.0,0.9959373399817496,,,3,1000,pde,0.23445038209338473,0.9959230745818108,0.9979594553797317,1.0,0.9999849402507709,0.9959230745818108,grid
neumann,8.0,4.0,0.3,48,100,injection,0,True,,0.9956245349138182,0.999980588438764,0.04997349975765098,0.06629248762850476,0.004405898098236808,1.0,0.3898195699095847,1802,2504,direct_injection,,,,1.0,0.9955886341530945,,,3,1000,pde,0.22305793519672656,0.9956245349138182,0.9978098691202739,1.0,0.999980588438764,0.9956245349138182,grid
neumann,8.3,4.19,0.675,48,100,injection,0,True,,0.9926241240121005,0.9999833552663626,0.0536070330937029,0.08620141408375821,0.004079829737742476,1.0,8.600315048254897,1802,2504,direct_injection,,,,0.9999999999999996,0.9928910427334163,,,3,1000,pde,0.23067647098376662,0.9926241240121005,0.996305236366898,1.0,0.9999833552663626,0.9926241240121005,grid
neumann,8.3,4.19,0.725,48,100,injection,0,True,,0.9926229164773637,0.9999833544425984,0.05360738650676757,0.08620852242417361,0.004079930695580867,1.0,1.6279869610565278,1802,2504,direct_injection,,,,1.0,0.9928898510936272,,,3,1000,pde,0.23067709105820824,0.9926229164773637,0.9963046303602948,1.0,0.9999833544425984,0.9926229164773637,grid
neumann,8.3,4.19,0.75,48,100,injection,0,True,,0.9926229164588605,0.9999833544425825,0.05360738651779779,0.08620852253308892,0.004079930697503075,1.0,0.978042448948589,1802,2504,direct_injection,,,,0.9999999999999996,0.9928898510757418,,,3,1000,pde,0.23067709107979023,0.9926229164588605,0.9963046303510089,1.0,0.9999833544425825,0.9926229164588605,grid
neumann,8.3,4.19,0.8,48,100,injection,0,True,,0.9926229164588602,0.9999833544425833,0.05360738651779826,0.08620852253309377,0.004079930697504144,1.0,0.4146277597709406,1802,2504,direct_injection,,,,1.0000000000000009,0.9928898510757418,,,3,1000,pde,0.23067709107979123,0.9926229164588602,0.9963046303510088,1.0,0.9999833544425833,0.9926229164588602,grid
neumann,8.3,4.19,0.9,48,100,injection,0,True,,0.9926229164588598,0.9999833544425829,0.05360738651779847,0.08620852253309456,0.0040799306975055835,1.0,0.48529096374473213,1802,2504,direct_injection,,,,1.0000000000000004,0.9928898510757413,,,3,1000,pde,0.23067709107979162,0.9926229164588598,0.9963046303510086,1.0,0.9999833544425829,0.9926229164588598,grid
neumann,8.3,4.19,0.3,48,100,injection,0,True,,0.9866360480850093,0.9999811244670762,0.04965827439339123,0.11638284320237478,0.004344639135341126,1.0,0.39365781135470995,1802,2504,direct_injection,,,,1.0000000000000004,0.9868178370519404,,,3,1000,pde,0.22134733701180265,0.9866360480850093,0.9932955492123224,1.0,0.9999811244670762,0.9866360480850093,grid
neumann,8.0,4.35,0.75,24,100,injection,0,True,,0.9836668407328076,0.9999889113549931,0.05779316571549825,0.12885790988114562,0.003329980175042123,1.0,0.2883407132448158,1802,2504,direct_injection,,,,1.0,0.9838585695575995,,,3,1000,pde,0.23843074620382282,0.9836668407328076,0.9917997987158536,1.0,0.9999889113549931,0.9836668407328076,grid
neumann,8.0,4.35,0.725,24,100,injection,0,True,,0.9836668407328074,0.9999889113549933,0.05779316571549705,0.12885790988114726,0.003329980175044034,1.0,0.4700089278918923,1802,2504,direct_injection,,,,0.9999999999999998,0.9838585695575995,,,3,1000,pde,0.23843074620382032,0.9836668407328074,0.9917997987158534,1.0,0.9999889113549933,0.9836668407328074,grid
neumann,8.0,4.35,0.8,24,100,injection,0,True,,0.9836668407328072,0.9999889113549931,0.0577931657154974,0.1288579098811471,0.003329980175041427,1.0,0.10774821648239566,1802,2504,direct_injection,,,,1.0,0.9838585695575998,,,3,1000,pde,0.23843074620382101,0.9836668407328072,0.9917997987158533,1.0,0.9999889113549931,0.9836668407328072,grid
neumann,8.0,4.35,0.675,24,100,injection,0,True,,0.9836668407212168,0.9999889113549947,0.05779316571342467,0.128857909927627,0.0033299801748366384,1.0,1.4112958900781745,1802,2504,direct_injection,,,,1.0,0.9838585695460481,,,3,1000,pde,0.2384307461981407,0.9836668407212168,0.9917997987100102,1.0,0.9999889113549947,0.9836668407212168,grid
