boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
periodic,8.3,4.19,0.675,48,100,injection,0,True,,0.9942836823485832,1.0,0.048721394160628456,0.07582335920299406,1.0804885536302732e-14,1.0,8.600315048254897,802,1104,direct_injection,,,,0.9999999999999998,0.9942836823485828,,,3,1000,pde,0.22009744931549394,0.9942836823485832,0.9971377449222265,1.0,1.0,0.9942836823485832,grid
periodic,8.3,4.19,0.725,48,100,injection,0,True,,0.9942807625617239,0.9999999999999998,0.04872189465603031,0.07584283265831708,1.3944938158920323e-14,1.0,1.6279869610565278,802,1104,direct_injection,,,,0.9999999999999998,0.9942807625617224,,,3,1000,pde,0.22009825663110055,0.9942807625617239,0.9971362808371401,1.0,0.9999999999999998,0.9942807625617239,grid
periodic,8.3,4.19,0.75,48,100,injection,0,True,,0.9942807625117881,1.0,0.048721894668500854,0.0758428329913215,1.0553632293170232e-14,1.0,0.978042448948589,802,1104,direct_injection,,,,1.0,0.9942807625117877,,,3,1000,pde,0.22009825665374103,0.9942807625117881,0.9971362808121005,1.0,1.0,0.9942807625117881,grid
periodic,8.3,4.19,0.8,48,100,injection,0,True,,0.9942807625117874,0.9999999999999998,0.04872189466850289,0.07584283299132563,1.15613852928906e-14,1.0,0.4146277597709406,802,1104,direct_injection,,,,0.9999999999999996,0.9942807625117863,,,3,1000,pde,0.22009825665374555,0.9942807625117874,0.9971362808121002,1.0,0.9999999999999998,0.9942807625117874,grid
periodic,8.3,4.19,0.9,48,100,injection,0,True,,0.9942807625117865,0.9999999999999996,0.04872189466850367,0.07584283299132961,1.3464112185459321e-14,1.0,0.48529096374473213,802,1104,direct_injection,,,,0.9999999999999998,0.9942807625117854,,,3,1000,pde,0.22009825665374722,0.9942807625117865,0.9971362808120997,1.0,0.9999999999999996,0.9942807625117865,grid
periodic,8.3,4.19,0.3,48,100,injection,0,True,,0.9896357024425364,0.9999999999999998,0.0445233952122279,0.10233690048038245,1.0443242222460706e-14,1.0,0.39365781135470995,802,1104,direct_injection,,,,1.0,0.9896357024425371,,,3,1000,pde,0.20990936495540122,0.9896357024425364,0.9948043538518196,1.0,0.9999999999999998,0.9896357024425364,grid
periodic,8.16,4.19,0.675,48,100,injection,0,True,,0.979441170622999,1.0,0.05849145828572599,0.14488052576341234,1.542213319519795e-14,1.0,8.600314541462987,802,1104,direct_injection,,,,0.9999999999999996,0.9794411706229956,,,3,1000,pde,0.23935108601136068,0.979441170622999,0.9896672019537673,1.0,1.0,0.979441170622999,grid
periodic,8.16,4.19,0.725,48,100,injection,0,True,,0.9794363796210938,1.0,0.05849214546790021,0.14489776055027667,1.2451307328203072e-14,1.0,1.6279870823930909,802,1104,direct_injection,,,,1.0,0.9794363796210924,,,3,1000,pde,0.23935190660061714,0.9794363796210938,0.9896647814391971,1.0,1.0,0.9794363796210938,grid
periodic,8.16,4.19,0.75,48,100,injection,0,True,,0.9794363795434757,1.0,0.058492145484012284,0.14489776082947894,1.1372891552161578e-14,1.0,0.9780426179316222,802,1104,direct_injection,,,,1.0,0.9794363795434762,,,3,1000,pde,0.2393519066240987,0.9794363795434757,0.9896647813999828,1.0,1.0,0.9794363795434757,grid
periodic,8.16,4.19,0.8,48,100,injection,0,True,,0.9794363795434755,1.0,0.058492145484014005,0.14489776082947892,1.1903223606250549e-14,1.0,0.41462789245628245,802,1104,direct_injection,,,,1.0,0.9794363795434745,,,3,1000,pde,0.2393519066241022,0.9794363795434755,0.9896647813999827,1.0,1.0,0.9794363795434755,grid
periodic,8.16,4.19,0.9,48,100,injection,0,True,,0.9794363795434743,1.0,0.058492145484014914,0.14489776082948558,1.1779905321706173e-14,1.0,0.48529083412930357,802,1104,direct_injection,,,,0.9999999999999996,0.9794363795434725,,,3,1000,pde,0.23935190662410388,0.9794363795434743,0.989664781399982,1.0,1.0,0.9794363795434743,grid
