boundary_condition,parameter,fidelity,x,median,q25,q75,count
dirichlet,r_target,0.6016609893992233,1.916666666666667,0.5479037696690591,0.5376372032018883,0.5586462097812719,36
dirichlet,r_target,0.592247031361485,1.938331430533519,0.5466035811156776,0.5364943184544221,0.5557917229330226,36
dirichlet,r_target,0.5826350753156166,1.9666666666666668,0.5454348364493762,0.5345353970154374,0.5530061892175804,36
dirichlet,r_target,0.5740090697504628,2.0,0.543030566086966,0.5330074284312272,0.5500770257399782,36
dirichlet,r_target,0.9605244385393322,5.0,0.6898885456928759,0.45334076922243355,0.8791283184570395,84
dirichlet,r_target,0.9948670263481206,8.0,0.6038709642392874,0.5290820494160671,0.9466813981178692,84
dirichlet,r_target,0.994660831100716,8.16,0.589209470984419,0.5325516176933329,0.9095507438187457,84
dirichlet,r_target,0.9925063086415077,8.3,0.5774712626089864,0.5378909739944737,0.8541803514740527,84
dirichlet,r_prime,0.62873094555711,0.9750000000000001,0.5479468129381235,0.5345353970154374,0.579424029745107,96
dirichlet,r_prime,0.6275103810326963,1.0,0.5501631754057164,0.5325944997507479,0.5735406420101274,96
dirichlet,r_prime,0.6251945621614695,1.05,0.5487101771999675,0.5257327479274542,0.576192612418938,96
dirichlet,r_prime,0.9484499907700311,3.0,0.015914928035477567,0.0021287809027012825,0.18234478382093036,48
dirichlet,r_prime,0.9864502618396304,4.0,0.8847267423061989,0.4781245062951019,0.9095506845150673,48
dirichlet,r_prime,0.9948670263481206,4.19,0.8717305930547784,0.7739608449744789,0.9925063086415065,48
dirichlet,r_prime,0.9852652376385248,4.35,0.9390842331317333,0.8852098017877292,0.9709254287581812,48
dirichlet,beta,0.9895966272417457,0.3,0.520527320620719,0.4299990970776155,0.7680185105812084,80
dirichlet,beta,0.9948670263481206,0.675,0.5604290141271973,0.5324380399358281,0.7069304615198628,80
dirichlet,beta,0.9948666245685188,0.725,0.5687530628978734,0.5403280229159295,0.6969802672457198,80
dirichlet,beta,0.9948666245668205,0.75,0.5727146328708961,0.5463658284235948,0.6939544711542132,80
dirichlet,beta,0.9948666245668203,0.8,0.5812532527257293,0.5485518799203949,0.6924339089074973,80
dirichlet,beta,0.9948666245668205,0.9,0.5986934893925302,0.5616216468775388,0.6924023338887264,80
neumann,r_target,0.502791853308544,1.916666666666667,0.46241615780185963,0.4539520657511778,0.4701929084714994,36
neumann,r_target,0.4970032523656659,1.938331430533519,0.462855054000564,0.4557110678076818,0.46913773748338417,36
neumann,r_target,0.4933598938087707,1.9666666666666668,0.4627030942460259,0.45358525466486865,0.4681347471242148,36
neumann,r_target,0.49144319541135845,2.0,0.4621410622342238,0.45355948459282375,0.46777819745517213,36
neumann,r_target,0.9673643586731391,5.0,0.8109735286426296,0.43166083188355975,0.9007127029869938,84
neumann,r_target,0.9959230745818108,8.0,0.5198432030111905,0.48336267633264385,0.9108861130864884,84
neumann,r_target,0.9805278057586712,8.16,0.510260458471926,0.47791023057998466,0.9282846375792193,84
neumann,r_target,0.9926241240121005,8.3,0.4885362825487715,0.46135947398384014,0.8751425385191469,84
neumann,r_prime,0.5316511096496136,0.9750000000000001,0.46527788031794765,0.4445350266987641,0.48567090090931103,96
neumann,r_prime,0.5308586394636775,1.0,0.46774830144352586,0.4465138089192566,0.4877473193329509,96
neumann,r_prime,0.5299175798298924,1.05,0.47296177493770974,0.4592842370488326,0.49053688659005856,96
neumann,r_prime,0.9544482489428021,3.0,0.15563903991412303,0.11660912384817906,0.35234558486842005,48
neumann,r_prime,0.9956245349138182,4.0,0.8951592342247146,0.6389252483590577,0.9304368202971527,48
neumann,r_prime,0.9926241240121005,4.19,0.9110406251114572,0.7881649433846233,0.9651142739742365,48
neumann,r_prime,0.9959230745818108,4.35,0.9205419155306774,0.9009214864049186,0.9471939767281716,48
neumann,beta,0.9959230745818108,0.3,0.42560564343303253,0.38441784546048874,0.800379881796827,80
neumann,beta,0.9926241240121005,0.675,0.4759970007042267,0.45088885502333087,0.7967463865495494,80
neumann,beta,0.9926229164773637,0.725,0.48144834106543954,0.45913129984294043,0.7967463425897048,80
neumann,beta,0.9926229164588605,0.75,0.48448203283971564,0.46273665908814354,0.7962911794212675,80
neumann,beta,0.9926229164588602,0.8,0.49209194973228193,0.4677212574932815,0.7926657683027171,80
neumann,beta,0.9926229164588598,0.9,0.5116949730712663,0.48723992133848787,0.791787142753712,80
periodic,r_target,0.8159066137461799,1.916666666666667,0.44738833592319455,0.43646466165915676,0.4583208306619974,36
periodic,r_target,0.6868944441823837,1.938331430533519,0.4473967722156432,0.4366839197393842,0.4583242959443735,36
periodic,r_target,0.5750265497797301,1.9666666666666668,0.44707307751616604,0.43956946364640487,0.4554966063488915,36
periodic,r_target,0.5054478238491849,2.0,0.4462401052954583,0.44117391142714946,0.45352837735487705,36
periodic,r_target,0.9721592431273441,5.0,0.7255910420464324,0.4204371079744802,0.8938939048609029,84
periodic,r_target,0.9777010721761336,8.0,0.4985001497766789,0.4644520920618006,0.8484409582271062,84
periodic,r_target,0.979441170622999,8.16,0.4819681467017931,0.46047484885908374,0.8452299404306263,84
periodic,r_target,0.9942836823485832,8.3,0.4706162478793666,0.4252933638483649,0.7818859057700782,84
periodic,r_prime,0.5097337079827658,0.9750000000000001,0.4480587580351991,0.42966735249765825,0.4665980442425337,96
periodic,r_prime,0.5092436891598998,1.0,0.45054160172938323,0.4357479660835579,0.46752706474716355,96
periodic,r_prime,0.8159066137461799,1.05,0.4602223102174373,0.44341640695414153,0.47696442197205924,96
periodic,r_prime,0.9525450234937198,3.0,0.11296682759357976,0.06960180047302414,0.2978435416943722,48
periodic,r_prime,0.9771250303056929,4.0,0.8240823958188297,0.5958527075295319,0.8935940599422755,48
periodic,r_prime,0.9942836823485832,4.19,0.8938948628722259,0.7730606038267038,0.9716500377148729,48
periodic,r_prime,0.9777010721761336,4.35,0.8867793522181245,0.8515765420632807,0.9100998310813382,48
periodic,beta,0.9896357024425364,0.3,0.40974474868820066,0.38012004491798845,0.8210948237784992,80
periodic,beta,0.9942836823485832,0.675,0.45981914308731464,0.4366657477179643,0.7509417236395921,80
periodic,beta,0.9942807625617239,0.725,0.46426773913443575,0.4426457635899422,0.7243256643622532,80
periodic,beta,0.9942807625117881,0.75,0.46705349482451114,0.44592400155791306,0.7167240889531608,80
periodic,beta,0.9942807625117874,0.8,0.4766290457277587,0.451240156162057,0.711546211744797,80
periodic,beta,0.9942807625117865,0.9,0.49673285033594977,0.4678168046906861,0.7116593741826945,80
