boundary_condition,parameter,fidelity,x,median,q25,q75,count
dirichlet,r_target,0.9968232437760232,7.8,0.9585908156160644,0.8726099210106304,0.9822737886247405,96
dirichlet,r_target,0.9989610514553566,7.9,0.9587119385329443,0.8664216767731858,0.9847245911969604,96
dirichlet,r_target,0.9976551686488184,8.0,0.9514311238683325,0.8485027247231945,0.9852230620116054,96
dirichlet,r_target,0.9956696043262296,8.1,0.9403991592969582,0.8116013727088358,0.9877550137573543,96
dirichlet,r_target,0.9956815752097326,8.16,0.9345706559787061,0.7831643876374597,0.9879503620011594,96
dirichlet,r_target,0.9952956124235264,8.2,0.9351679107886841,0.7621914419614453,0.9842990494638655,96
dirichlet,r_target,0.9929119318570361,8.3,0.9107370148859684,0.7050583661433274,0.9843497106971412,96
dirichlet,r_target,0.9942063376202037,8.4,0.8956390494380291,0.6487784084014669,0.9867482547137327,96
dirichlet,r_prime,0.9950758963013229,4.0,0.7243677844711875,0.43748570168233136,0.9266535903861767,128
dirichlet,r_prime,0.9989610514553566,4.1,0.8797384814583509,0.5986075683776662,0.9889687507780263,128
dirichlet,r_prime,0.9953483896402301,4.19,0.9365719830907991,0.73665235078948,0.9942932547805609,128
dirichlet,r_prime,0.9942063376202037,4.25,0.9413090500177808,0.8176857417168617,0.9877424469282466,128
dirichlet,r_prime,0.9909085189577758,4.35,0.9639546881004196,0.9314431671463937,0.9746768314143587,128
dirichlet,r_prime,0.9956815752097326,4.5,0.9658225703598675,0.9296849234921797,0.9925737030322161,128
dirichlet,beta,0.9950758963013229,0.3,0.9377422847180306,0.8332074874865251,0.9805160869052851,96
dirichlet,beta,0.9989610514553566,0.5,0.9438465055862357,0.7815130170349848,0.987375192457568,96
dirichlet,beta,0.9981116035816474,0.6,0.9454464761131132,0.779041992693844,0.9880893425138574,96
dirichlet,beta,0.9981171968279308,0.675,0.9458685682048158,0.7790114703335,0.9882323790841063,96
dirichlet,beta,0.998117519416245,0.725,0.9458995976690684,0.7790114690689891,0.9882334817369097,96
dirichlet,beta,0.9981175192685574,0.75,0.9458996321230719,0.77901146906899,0.988233481525575,96
dirichlet,beta,0.9981175192684961,0.8,0.9458996321378288,0.7790114690689888,0.9882334815254592,96
dirichlet,beta,0.9981175192684988,0.9,0.9458996321098514,0.779011469063616,0.9882334815254622,96
neumann,r_target,0.9974480642974461,7.8,0.9235256552807921,0.8675377048303234,0.9663029271861776,96
neumann,r_target,0.9997155021219948,7.9,0.9207937968091099,0.8554193432511229,0.9652086585439154,96
neumann,r_target,0.9985766436299267,8.0,0.9235857809428629,0.8492904332978335,0.9693028479841005,96
neumann,r_target,0.9987390011281068,8.1,0.9278077198516861,0.8189741587984061,0.9733889996308489,96
neumann,r_target,0.9978046395031002,8.16,0.9283017913407667,0.8038393244593052,0.9691776097841718,96
neumann,r_target,0.9962171325158866,8.2,0.9249032368448862,0.7830068451894469,0.9708671066370526,96
neumann,r_target,0.9954826791976439,8.3,0.9017919316020622,0.7259119215446135,0.9808123197119311,96
neumann,r_target,0.9967181501569283,8.4,0.8634687629973508,0.6670412434308811,0.9730049123847662,96
neumann,r_prime,0.9997155021219948,4.0,0.8056837378136039,0.5868217426983711,0.9464447571061276,128
neumann,r_prime,0.9987390011281068,4.1,0.9174061302418774,0.6567238837192293,0.9934744675292598,128
neumann,r_prime,0.9961904208066455,4.19,0.926296504358685,0.7489255428495944,0.9749289328588929,128
neumann,r_prime,0.9886360452576332,4.25,0.9208362025730978,0.8377230517202702,0.956342052134789,128
