boundary_condition,parameter,fidelity_vs_truncated,x,median,q25,q75,count
dirichlet,r_target,0.9999998982750354,7.8,0.9999902391785772,0.9999828562255215,0.9999966157629773,96
dirichlet,r_target,0.999999625394683,7.9,0.9999889606202927,0.9999815694731056,0.9999958389598207,96
dirichlet,r_target,0.9999991986368342,8.0,0.9999882386622815,0.999982605974546,0.9999948607898035,96
dirichlet,r_target,0.9999986809960919,8.1,0.99998850684064,0.999984948723167,0.9999938487972786,96
dirichlet,r_target,0.9999983470962,8.16,0.9999888313021201,0.9999851260938585,0.999993204772262,96
dirichlet,r_target,0.9999981303157512,8.2,0.9999891228283599,0.9999854364498786,0.9999929801222704,96
dirichlet,r_target,0.9999975541323834,8.3,0.9999908566304999,0.9999879137365406,0.9999928850264859,96
dirichlet,r_target,0.9999969426482137,8.4,0.9999903824685077,0.9999890474548416,0.9999933876682388,96
dirichlet,r_prime,0.9999939312518381,4.0,0.9999872600708204,0.9999857494839184,0.9999889755653105,128
dirichlet,r_prime,0.9999942719488887,4.1,0.9999888252011806,0.9999843833412241,0.9999903019187025,128
dirichlet,r_prime,0.9999966157629776,4.19,0.999989230770592,0.9999829248956348,0.999992895078579,128
dirichlet,r_prime,0.9999987367114276,4.25,0.9999916529748709,0.9999824320936536,0.9999959425205309,128
dirichlet,r_prime,0.999999807144871,4.35,0.9999937008120994,0.9999865830966501,0.9999983374853763,128
dirichlet,r_prime,0.9999998982750354,4.5,0.9999961664565169,0.9999928986101807,0.9999983399253367,128
dirichlet,beta,0.9999988117263796,0.3,0.99999131297309,0.9999860738697403,0.9999939446543427,96
dirichlet,beta,0.9999998409286711,0.5,0.9999896556945699,0.9999856087657373,0.9999950435206453,96
dirichlet,beta,0.9999998979467032,0.6,0.9999892966910796,0.9999854274327029,0.9999955616866758,96
dirichlet,beta,0.9999998982750354,0.675,0.9999892897061519,0.9999854182146973,0.9999956328407076,96
dirichlet,beta,0.9999998982750241,0.725,0.9999892905501975,0.9999854182124837,0.9999956331031926,96
dirichlet,beta,0.9999998982750237,0.75,0.9999892905534973,0.9999854182124839,0.9999956331031956,96
dirichlet,beta,0.9999998982750239,0.8,0.9999892905535024,0.9999854182124841,0.999995633103196,96
dirichlet,beta,0.9999998982750239,0.9,0.9999892905535019,0.9999854182124818,0.9999956331031964,96
neumann,r_target,0.9999999874404464,7.8,0.9999905067016157,0.9999857974319495,0.9999930694566205,96
neumann,r_target,0.9999999517334331,7.9,0.9999885899764995,0.9999840445907083,0.9999910667751214,96
neumann,r_target,0.9999999247598933,8.0,0.9999880185119832,0.9999833559168134,0.9999889113549945,96
neumann,r_target,0.9999992269158158,8.1,0.9999858721231929,0.9999841139601583,0.9999882234181506,96
neumann,r_target,0.9999984732931783,8.16,0.9999853823255576,0.999982405330424,0.9999884191200842,96
neumann,r_target,0.9999978572556046,8.2,0.9999846321775204,0.9999813436970137,0.9999877030909933,96
neumann,r_target,0.9999960368024413,8.3,0.9999833544425909,0.9999791715903431,0.999988409933133,96
neumann,r_target,0.9999940114770832,8.4,0.9999836629859609,0.9999788747190694,0.9999911093853385,96
neumann,r_prime,0.9999911418075957,4.0,0.9999792825354596,0.9999705750352365,0.999988413203928,128
neumann,r_prime,0.9999921368378752,4.1,0.9999788747190692,0.9999740982484717,0.9999847723218973,128
neumann,r_prime,0.9999938482622991,4.19,0.9999853823255576,0.9999833510701018,0.9999884099331333,128
neumann,r_prime,0.9999935864448776,4.25,0.9999884813982349,0.9999824958710237,0.9999900829085441,128
neumann,r_prime,0.9999983540963091,4.35,0.9999877030909944,0.9999863923494994,0.9999910952140075,128
neumann,r_prime,0.9999999874404464,4.5,0.999991348976524,0.999983838545685,0.9999984732931783,128
neumann,beta,0.9999999874404464,0.3,0.999982165739599,0.9999769754450119,0.9999876398244316,96
neumann,beta,0.9999999517334331,0.5,0.9999856729190494,0.9999825412736446,0.9999892116130911,96
neumann,beta,0.9999999228626931,0.6,0.9999867862765732,0.999982910247486,0.9999900748610081,96
neumann,beta,0.9999999247598544,0.675,0.999986745468461,0.9999829096645944,0.999990108347986,96
neumann,beta,0.9999999247598926,0.725,0.9999867454684584,0.9999829096645944,0.9999901088304954,96
neumann,beta,0.9999999247598929,0.75,0.9999867454684586,0.9999829096645944,0.9999901088307372,96
neumann,beta,0.9999999247598933,0.8,0.9999867454684584,0.9999829096645942,0.9999901088307371,96
neumann,beta,0.9999999247598931,0.9,0.9999867454684597,0.9999829096645935,0.9999901088307352,96
periodic,r_target,1.0000000000000004,7.8,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000009,7.9,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000009,8.0,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000009,8.1,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000004,8.16,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000004,8.2,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000004,8.3,1.0,0.9999999999999998,1.0,96
periodic,r_target,1.0000000000000004,8.4,1.0,0.9999999999999998,1.0,96
periodic,r_prime,1.0000000000000004,4.0,1.0,0.9999999999999998,1.0,128
periodic,r_prime,1.0000000000000009,4.1,1.0,0.9999999999999998,1.0,128
periodic,r_prime,1.0000000000000009,4.19,1.0,1.0,1.0,128
periodic,r_prime,1.0000000000000004,4.25,1.0,0.9999999999999998,1.0,128
periodic,r_prime,1.0000000000000004,4.35,1.0,0.9999999999999998,1.0,128
periodic,r_prime,1.0000000000000004,4.5,1.0,1.0,1.0,128
periodic,beta,1.0000000000000009,0.3,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000009,0.5,1.0,1.0,1.0,96
periodic,beta,1.0000000000000004,0.6,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000009,0.675,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000004,0.725,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000009,0.75,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000009,0.8,1.0,0.9999999999999998,1.0,96
periodic,beta,1.0000000000000004,0.9,1.0,0.9999999999999998,1.0,96
