boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
dirichlet,7.8,4.0,0.3,24,100,injection,0,True,,0.6547160178198191,0.9999767073858498,0.026043546411428465,0.7262091771046774,0.004826298447964606,1.0,0.27942602398364935,1502,2204,direct_injection,,,,1.0000000000000004,0.6544189779632149,,,3,1000,pde,0.13057996399293456,0.6547160178198191,0.8091452390144919,1.0,0.9999767073858498,0.6547160178198191,grid
dirichlet,7.8,4.0,0.3,48,100,injection,0,True,,0.9948928798483226,0.9999862250296279,0.049288025988575346,0.07164730782856336,0.003711490283473039,1.0,0.3898203650313374,1502,2204,direct_injection,,,,0.9999999999999996,0.9952462886417957,,,3,1000,pde,0.22144142818770993,0.9948928798483226,0.9974431712375009,1.0,0.9999862250296279,0.9948928798483226,grid
dirichlet,7.8,4.0,0.5,24,100,injection,0,True,,0.5781923148493464,0.9999789960447327,0.03020756501138459,0.8541243173617598,0.0045830553610546245,1.0,0.11982872046198771,1502,2204,direct_injection,,,,0.9999999999999998,0.5780099750910619,,,3,1000,pde,0.13215817015945167,0.5781923148493464,0.7603895809710615,1.0,0.9999789960447327,0.5781923148493464,grid
dirichlet,7.8,4.0,0.5,48,100,injection,0,True,,0.964054060525408,0.9999883892624709,0.05585289143269213,0.1930964214282062,0.003407473013818734,1.0,0.17596920248095302,1502,2204,direct_injection,,,,1.0,0.9638343446791782,,,3,1000,pde,0.2320456997614298,0.964054060525408,0.9818625466557974,1.0,0.9999883892624709,0.964054060525408,grid
dirichlet,7.8,4.0,0.6,24,100,injection,0,True,,0.5785070870943797,0.9999789006646865,0.030757476272007183,0.8535732502747652,0.004593449738999919,1.0,0.3187235207886547,1502,2204,direct_injection,,,,1.0,0.5783292956007406,,,3,1000,pde,0.1333919712894797,0.5785070870943797,0.7605965337117832,1.0,0.9999789006646865,0.5785070870943797,grid
dirichlet,7.8,4.0,0.6,48,100,injection,0,True,,0.9565459608017363,0.9999890376366376,0.0589187896325946,0.21313862258801802,0.0033109641401459274,1.0,0.44483164452194107,1502,2204,direct_injection,,,,1.0,0.9562246567881367,,,3,1000,pde,0.23739951608709225,0.9565459608017363,0.9780316767885058,1.0,0.9999890376366376,0.9565459608017363,grid
dirichlet,7.8,4.0,0.675,24,100,injection,0,True,,0.5790584551739384,0.9999788378189396,0.030769278151256692,0.8526085659546533,0.004600285741973691,1.0,0.8654970720710534,1502,2204,direct_injection,,,,1.0,0.5788797474948705,,,3,1000,pde,0.13348112478206017,0.5790584551739384,0.7609589050493715,1.0,0.9999788378189396,0.5790584551739384,grid
dirichlet,7.8,4.0,0.675,48,100,injection,0,True,,0.9569088730855271,0.9999889815231863,0.05941054113470247,0.21220647686541555,0.00331942739363079,1.0,1.1971805075607262,1502,2204,direct_injection,,,,1.0,0.9565499732877595,,,3,1000,pde,0.23843337427174388,0.9569088730855271,0.9782171911623344,1.0,0.9999889815231863,0.9569088730855271,grid
dirichlet,7.8,4.0,0.725,24,100,injection,0,True,,0.5790588927569812,0.999978837727831,0.03076929172268808,0.8526078006473664,0.004600295644830732,1.0,7.735051378238508,1502,2204,direct_injection,,,,1.0,0.578880185922684,,,3,1000,pde,0.1334812046538999,0.5790588927569812,0.760959192570128,1.0,0.999978837727831,0.5790588927569812,grid
dirichlet,7.8,4.0,0.725,48,100,injection,0,True,,0.9569713039227,0.9999889799520051,0.05941815015088354,0.2120457807050527,0.0033196640548760897,1.0,8.492429928498394,1502,2204,direct_injection,,,,0.9999999999999998,0.9566109755272468,,,3,1000,pde,0.23845642081220164,0.9569713039227,0.9782491011612022,1.0,0.9999889799520051,0.9569713039227,grid
dirichlet,7.8,4.0,0.75,24,100,injection,0,True,,0.5790588927577,0.9999788377278315,0.0307692917227982,0.8526078006461094,0.004600295644890117,1.0,3.105158070181871,1502,2204,direct_injection,,,,1.0,0.5788801859234082,,,3,1000,pde,0.13348120465422159,0.5790588927577,0.7609591925706003,1.0,0.9999788377278315,0.5790588927577,grid
dirichlet,7.8,4.0,0.75,48,100,injection,0,True,,0.9569713898239817,0.9999889799568534,0.05941815754600815,0.2120455595268283,0.0033196633247219716,1.0,4.99068297309302,1502,2204,direct_injection,,,,0.9999999999999998,0.9566110597922741,,,3,1000,pde,0.23845644635359248,0.9569713898239817,0.9782491450668289,1.0,0.9999889799568534,0.9569713898239817,grid
dirichlet,7.8,4.0,0.8,24,100,injection,0,True,,0.5790588927576967,0.9999788377278308,0.03076929172279827,0.8526078006461145,0.004600295644888215,1.0,0.8344018710554683,1502,2204,direct_injection,,,,0.9999999999999998,0.5788801859234088,,,3,1000,pde,0.13348120465422136,0.5790588927576967,0.7609591925705982,1.0,0.9999788377278308,0.5790588927576967,grid
dirichlet,7.8,4.0,0.8,48,100,injection,0,True,,0.9569713898866707,0.999988979956865,0.05941815755507805,0.2120455593654164,0.0033196633229392535,1.0,1.2044367932053115,1502,2204,direct_injection,,,,0.9999999999999996,0.9566110598532157,,,3,1000,pde,0.23845644637960248,0.9569713898866707,0.9782491450988704,1.0,0.999988979956865,0.9569713898866707,grid
dirichlet,7.8,4.0,0.9,24,100,injection,0,True,,0.5790588927570381,0.9999788377278306,0.03076929172279149,0.8526078006472666,0.004600295644890385,1.0,0.08366129132954327,1502,2204,direct_injection,,,,0.9999999999999998,0.5788801859227463,,,3,1000,pde,0.13348120465413074,0.5790588927570381,0.7609591925701654,1.0,0.9999788377278306,0.5790588927570381,grid
dirichlet,7.8,4.0,0.9,48,100,injection,0,True,,0.9569713898865653,0.9999889799568652,0.05941815755504047,0.21204555936568742,0.0033196633229369845,1.0,0.20010751325243725,1502,2204,direct_injection,,,,1.0000000000000009,0.9566110598531097,,,3,1000,pde,0.23845644637951394,0.9569713898865653,0.9782491450988164,1.0,0.9999889799568652,0.9569713898865653,grid
dirichlet,7.8,4.1,0.3,24,100,injection,0,True,,0.8168840818649584,0.9999809360981305,0.03078453677110411,0.47345949743443105,0.0043662644569871425,1.0,0.27953568473034185,1502,2204,direct_injection,,,,1.0,0.8167919115563613,,,3,1000,pde,0.1585793115633355,0.8168840818649584,0.9038163983160288,1.0,0.9999809360981305,0.8168840818649584,grid
dirichlet,7.8,4.1,0.3,48,100,injection,0,True,,0.983658356134962,0.9999914407205168,0.06352339649979062,0.12889193036925414,0.0029256371519112917,1.0,0.3926772096489205,1502,2204,direct_injection,,,,1.0,0.9841930793565962,,,3,1000,pde,0.24997063782991283,0.983658356134962,0.9917955213323773,1.0,0.9999914407205168,0.983658356134962,grid
dirichlet,7.8,4.1,0.5,24,100,injection,0,True,,0.7351272954656808,0.9999817872426605,0.03616156514821267,0.6002571318416784,0.004267679586126343,1.0,0.14409295385688836,1502,2204,direct_injection,,,,0.9999999999999993,0.735364419843067,,,3,1000,pde,0.1630440234636388,0.7351272954656808,0.8573956469831654,1.0,0.9999817872426605,0.7351272954656808,grid
dirichlet,7.8,4.1,0.5,48,100,injection,0,True,,0.9968232437760232,0.9999936871694964,0.06854399629481898,0.0564524593386136,0.0025125426078043064,1.0,0.20388264826842328,1502,2204,direct_injection,,,,1.0,0.9967214891108966,,,3,1000,pde,0.2613929010665232,0.9968232437760232,0.9984103584078158,1.0,0.9999936871694964,0.9968232437760232,grid
dirichlet,7.8,4.1,0.6,24,100,injection,0,True,,0.7324653689119215,0.9999816403020159,0.0369817072088562,0.6043610341670428,0.004284861149352791,1.0,0.4095215398001808,1502,2204,direct_injection,,,,1.0000000000000004,0.7327966486958797,,,3,1000,pde,0.16458377749258132,0.7324653689119215,0.8558419064943721,1.0,0.9999816403020159,0.7324653689119215,grid
dirichlet,7.8,4.1,0.6,48,100,injection,0,True,,0.9956541865685498,0.9999941987955958,0.07068314348610079,0.06606649649796456,0.0024085759399950363,1.0,0.572189494164203,1502,2204,direct_injection,,,,1.0,0.9954531186492307,,,3,1000,pde,0.2652846918534158,0.9956541865685498,0.9978247273787866,1.0,0.9999941987955958,0.9956541865685498,grid
dirichlet,7.8,4.1,0.675,24,100,injection,0,True,,0.7324693131250808,0.9999816279808237,0.037007996133655505,0.6043549519826682,0.004286298719562012,1.0,1.692570386700593,1502,2204,direct_injection,,,,0.9999999999999996,0.7328044966231955,,,3,1000,pde,0.16464270863950914,0.7324693131250808,0.8558442107796727,1.0,0.9999816279808237,0.7324693131250808,grid
