boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
dirichlet,7.9,4.1,0.5,48,100,injection,0,True,,0.9989610514553566,0.9999920899517579,0.06278915139876678,0.03224948187714165,0.002812491921985122,1.0,0.20388249847989928,1502,2204,direct_injection,,,,1.0,0.9988420501866455,,,3,1000,pde,0.2504474330100064,0.9989610514553566,0.999480390730782,1.0,0.9999920899517579,0.9989610514553566,grid
dirichlet,7.9,4.1,0.725,48,100,injection,0,True,,0.998117519416245,0.9999926238123295,0.06495330306715023,0.04342845841719704,0.0027159237985191326,1.0,3.8765634522436967,1502,2204,direct_injection,,,,1.0000000000000009,0.9979090785624223,,,3,1000,pde,0.25461938208878676,0.998117519416245,0.9990583163240497,1.0,0.9999926238123295,0.998117519416245,grid
dirichlet,7.9,4.1,0.75,48,100,injection,0,True,,0.9981175192685574,0.9999926238130527,0.06495330328811295,0.04342846012397393,0.0027159236654008224,1.0,1.6751635291450697,1502,2204,direct_injection,,,,1.0000000000000004,0.9979090784002804,,,3,1000,pde,0.2546193825030403,0.9981175192685574,0.9990583162501363,1.0,0.9999926238130527,0.9981175192685574,grid
dirichlet,7.9,4.1,0.9,48,100,injection,0,True,,0.9981175192684988,0.9999926238130527,0.0649533032881364,0.043428460124648814,0.0027159236653742274,1.0,0.2167297622365,1502,2204,direct_injection,,,,1.0000000000000004,0.9979090784002194,,,3,1000,pde,0.25461938250307875,0.9981175192684988,0.999058316250107,1.0,0.9999926238130527,0.9981175192684988,grid
dirichlet,7.9,4.1,0.8,48,100,injection,0,True,,0.9981175192684961,0.9999926238130527,0.06495330328813607,0.043428460124679866,0.0027159236653714427,1.0,0.6933941688812427,1502,2204,direct_injection,,,,1.0000000000000004,0.9979090784002163,,,3,1000,pde,0.2546193825030778,0.9981175192684961,0.9990583162501057,1.0,0.9999926238130527,0.9981175192684961,grid
dirichlet,7.9,4.1,0.675,48,100,injection,0,True,,0.9981171968279308,0.9999926213146655,0.06495169724678203,0.04343218630098865,0.0027163835848832123,1.0,2.253990663923419,1502,2204,direct_injection,,,,1.0,0.9979088390485152,,,3,1000,pde,0.2546161934857532,0.9981171968279308,0.9990581548778483,1.0,0.9999926213146655,0.9981171968279308,grid
dirichlet,7.9,4.1,0.6,48,100,injection,0,True,,0.9981116035816474,0.9999925421216461,0.06473288817301692,0.043496772365607214,0.002730921817627878,1.0,0.5721895674198113,1502,2204,direct_injection,,,,0.9999999999999996,0.9979131026842119,,,3,1000,pde,0.2541862443540983,0.9981116035816474,0.999055355614316,1.0,0.9999925421216461,0.9981116035816474,grid
dirichlet,8.0,4.1,0.5,48,100,injection,0,True,,0.9976551686488184,0.9999907511791589,0.05768811476883194,0.048480331145537195,0.003041201470334176,1.0,0.20388237584483163,1502,2204,direct_injection,,,,1.0000000000000009,0.9974494339000517,,,3,1000,pde,0.23990174211274795,0.9976551686488184,0.9988268962381912,1.0,0.9999907511791589,0.9976551686488184,grid
dirichlet,8.0,4.1,0.675,48,100,injection,0,True,,0.9973414603165139,0.9999911186511578,0.05963203531931562,0.05162970421121403,0.002980172431479854,1.0,2.253991066331165,1502,2204,direct_injection,,,,1.0,0.9970733499331856,,,3,1000,pde,0.2438718950330525,0.9973414603165139,0.9986698455027637,1.0,0.9999911186511578,0.9973414603165139,grid
dirichlet,8.0,4.1,0.725,48,100,injection,0,True,,0.9973409484702255,0.9999911210582694,0.05963421636975625,0.05163468733234595,0.002979768542450837,1.0,3.8765632002063,1502,2204,direct_injection,,,,0.9999999999999996,0.997072779999385,,,3,1000,pde,0.2438762922374607,0.9973409484702255,0.9986695892387158,1.0,0.9999911210582694,0.9973409484702255,grid
dirichlet,8.0,4.1,0.75,48,100,injection,0,True,,0.9973409480910286,0.9999911210589655,0.05963421675584546,0.05163469102387051,0.002979768425646108,1.0,1.6751633041330178,1502,2204,direct_injection,,,,0.9999999999999996,0.9970727796114801,,,3,1000,pde,0.2438762929805618,0.9973409480910286,0.9986695890488648,1.0,0.9999911210589655,0.9973409480910286,grid
dirichlet,8.0,4.1,0.9,48,100,injection,0,True,,0.9973409480909143,0.9999911210589659,0.059634216755906376,0.051634691024981985,0.002979768425622346,1.0,0.2167297065783692,1502,2204,direct_injection,,,,1.0,0.9970727796113643,,,3,1000,pde,0.24387629298067237,0.9973409480909143,0.9986695890488076,1.0,0.9999911210589659,0.9973409480909143,grid
dirichlet,8.0,4.1,0.8,48,100,injection,0,True,,0.9973409480909119,0.9999911210589659,0.059634216755905266,0.05163469102500482,0.0029797684256208097,1.0,0.6933939587197957,1502,2204,direct_injection,,,,0.9999999999999996,0.9970727796113614,,,3,1000,pde,0.24387629298066982,0.9973409480909119,0.9986695890488064,1.0,0.9999911210589659,0.9973409480909119,grid
dirichlet,8.0,4.1,0.6,48,100,injection,0,True,,0.9973389592980564,0.9999910463224828,0.059398845662168305,0.051654048563816654,0.0029922830223842994,1.0,0.5721896273967801,1502,2204,direct_injection,,,,0.9999999999999998,0.99707777040727,,,3,1000,pde,0.24339429515954725,0.9973389592980564,0.998668593327164,1.0,0.9999910463224828,0.9973389592980564,grid
dirichlet,7.8,4.1,0.5,48,100,injection,0,True,,0.9968232437760232,0.9999936871694964,0.06854399629481898,0.0564524593386136,0.0025125426078043064,1.0,0.20388264826842328,1502,2204,direct_injection,,,,1.0,0.9967214891108966,,,3,1000,pde,0.2613929010665232,0.9968232437760232,0.9984103584078158,1.0,0.9999936871694964,0.9968232437760232,grid
