boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
neumann,7.8,4.0,0.3,24,100,injection,0,True,,0.8031054775604596,0.9999793088254009,0.049201548148128015,0.4951428626124433,0.004548802340486907,1.0,0.27942602398364935,1802,2504,direct_injection,,,,1.0,0.803041302451811,,,3,1000,pde,0.19878136940421828,0.8031054775604596,0.896161524258021,1.0,0.9999793088254009,0.8031054775604596,grid
neumann,7.8,4.0,0.3,48,100,injection,0,True,,0.996667690097282,0.9999882003336965,0.06337193822424622,0.057822584849314074,0.0034350845022576835,1.0,0.3898203650313374,1802,2504,direct_injection,,,,1.0,0.9964883702151685,,,3,1000,pde,0.25131805205147345,0.996667690097282,0.9983324546949688,1.0,0.9999882003336965,0.996667690097282,grid
neumann,7.8,4.0,0.5,24,100,injection,0,True,,0.7530703910845025,0.9999795250259577,0.05582755381955429,0.5726230133177178,0.004524974394981708,1.0,0.11982872046198771,1802,2504,direct_injection,,,,1.0,0.7530759054317069,,,3,1000,pde,0.20504164891110016,0.7530703910845025,0.8677962843228256,1.0,0.9999795250259577,0.7530703910845025,grid
neumann,7.8,4.0,0.5,48,100,injection,0,True,,0.9877797014040298,0.9999881949399546,0.06789952200034792,0.1112271630385817,0.0034358695269934895,1.0,0.17596920248095302,1802,2504,direct_injection,,,,1.0000000000000004,0.9880152802701901,,,3,1000,pde,0.25897831871988825,0.9877797014040298,0.9938710688032074,1.0,0.9999881949399546,0.9877797014040298,grid
neumann,7.8,4.0,0.6,24,100,injection,0,True,,0.7499897651133693,0.9999793436220364,0.05621675303303954,0.5773660268284324,0.004544975759982845,1.0,0.3187235207886547,1802,2504,direct_injection,,,,1.0,0.7500232437945052,,,3,1000,pde,0.20533384865307916,0.7499897651133693,0.8660194946497275,1.0,0.9999793436220364,0.7499897651133693,grid
neumann,7.8,4.0,0.6,48,100,injection,0,True,,0.9849769878441395,0.9999887934376737,0.06817549310931051,0.12349957619527042,0.0033476391553322266,1.0,0.44483164452194107,1802,2504,direct_injection,,,,0.9999999999999998,0.9852960515357759,,,3,1000,pde,0.25913566301765095,0.9849769878441395,0.99246006863961,1.0,0.9999887934376737,0.9849769878441395,grid
neumann,7.8,4.0,0.675,24,100,injection,0,True,,0.749894849077069,0.9999792825622007,0.05623845972860254,0.5775121596292326,0.004551688370274723,1.0,0.8654970720710534,1802,2504,direct_injection,,,,0.9999999999999998,0.7499291139070424,,,3,1000,pde,0.20536049101642512,0.749894849077069,0.8659646927427637,1.0,0.9999792825622007,0.749894849077069,grid
neumann,7.8,4.0,0.675,48,100,injection,0,True,,0.9857063676798228,0.9999889179170237,0.06816013792580762,0.1204196947947513,0.0033289947116187757,1.0,1.1971805075607262,1802,2504,direct_injection,,,,1.0,0.9860318095269831,,,3,1000,pde,0.25920239577481446,0.9857063676798228,0.9928274611833734,1.0,0.9999889179170237,0.9857063676798228,grid
neumann,7.8,4.0,0.725,24,100,injection,0,True,,0.7498944875049759,0.9999792825354593,0.0562385033887297,0.5775127163059205,0.004551691307959546,1.0,7.735051378238508,1802,2504,direct_injection,,,,0.9999999999999993,0.749928752250637,,,3,1000,pde,0.2053605212224061,0.7498944875049759,0.8659644839743579,1.0,0.9999792825354593,0.7498944875049759,grid
neumann,7.8,4.0,0.725,48,100,injection,0,True,,0.9857499500263918,0.9999889173329684,0.06816157713466978,0.12023331235551261,0.003329082434904181,1.0,8.492429928498394,1802,2504,direct_injection,,,,0.9999999999999998,0.9860754953111607,,,3,1000,pde,0.25921086253130055,0.9857499500263918,0.9928494095412415,1.0,0.9999889173329684,0.9857499500263918,grid
neumann,7.8,4.0,0.75,24,100,injection,0,True,,0.7498944875016731,0.9999792825354593,0.05623850338905786,0.5775127163110049,0.0045516913079494264,1.0,3.105158070181871,1802,2504,direct_injection,,,,0.9999999999999996,0.7499287522473294,,,3,1000,pde,0.20536052122255302,0.7498944875016731,0.8659644839724508,1.0,0.9999792825354593,0.7498944875016731,grid
neumann,7.8,4.0,0.75,48,100,injection,0,True,,0.9857499870537496,0.9999889173305203,0.06816158527534075,0.1202331538900372,0.003329082802560324,1.0,4.99068297309302,1802,2504,direct_injection,,,,0.9999999999999996,0.9860755328080358,,,3,1000,pde,0.2592108828786519,0.9857499870537496,0.9928494281882574,1.0,0.9999889173305203,0.9857499870537496,grid
neumann,7.8,4.0,0.8,24,100,injection,0,True,,0.749894487501675,0.9999792825354595,0.05623850338905782,0.5775127163110026,0.0045516913079481315,1.0,0.8344018710554683,1802,2504,direct_injection,,,,0.9999999999999998,0.7499287522473296,,,3,1000,pde,0.20536052122255322,0.749894487501675,0.865964483972452,1.0,0.9999792825354595,0.749894487501675,grid
neumann,7.8,4.0,0.8,48,100,injection,0,True,,0.9857499870641241,0.9999889173305232,0.06816158529023164,0.12023315384563592,0.0033290828020798033,1.0,1.2044367932053115,1802,2504,direct_injection,,,,1.0,0.9860755328192742,,,3,1000,pde,0.25921088290833016,0.9857499870641241,0.992849428193482,1.0,0.9999889173305232,0.9857499870641241,grid
neumann,7.8,4.0,0.9,24,100,injection,0,True,,0.7498944875012583,0.9999792825354598,0.056238503389033495,0.5775127163116438,0.004551691307944404,1.0,0.08366129132954327,1802,2504,direct_injection,,,,1.0,0.7499287522469109,,,3,1000,pde,0.20536052122245174,0.7498944875012583,0.8659644839722114,1.0,0.9999792825354598,0.7498944875012583,grid
neumann,7.8,4.0,0.9,48,100,injection,0,True,,0.9857499870640509,0.9999889173305236,0.06816158529018222,0.12023315384595087,0.0033290828020783115,1.0,0.20010751325243725,1802,2504,direct_injection,,,,0.9999999999999996,0.9860755328192014,,,3,1000,pde,0.2592108829082265,0.9857499870640509,0.9928494281934451,1.0,0.9999889173305236,0.9857499870640509,grid
neumann,7.8,4.1,0.3,24,100,injection,0,True,,0.8744154599161146,0.9999803376462656,0.05299661411932593,0.37897379086715954,0.004434268863137024,1.0,0.27953568473034185,1802,2504,direct_injection,,,,1.0,0.8745008460803441,,,3,1000,pde,0.2152697347727897,0.8744154599161146,0.9351018446758164,1.0,0.9999803376462656,0.8744154599161146,grid
neumann,7.8,4.1,0.3,48,100,injection,0,True,,0.9654228999706196,0.999990830021403,0.07708304081526496,0.18924982435339002,0.003028211136321638,1.0,0.3926772096489205,1802,2504,direct_injection,,,,1.0,0.9651532101396391,,,3,1000,pde,0.27279613780702017,0.9654228999706196,0.9825593620594226,1.0,0.999990830021403,0.9654228999706196,grid
neumann,7.8,4.1,0.5,24,100,injection,0,True,,0.7946179867562022,0.9999790550019226,0.06061273377096352,0.5083958627141969,0.004576618487384853,1.0,0.14409295385688836,1802,2504,direct_injection,,,,0.9999999999999998,0.7948579526171686,,,3,1000,pde,0.21946290912332475,0.7946179867562022,0.8914134768760242,1.0,0.9999790550019226,0.7946179867562022,grid
neumann,7.8,4.1,0.5,48,100,injection,0,True,,0.9911095569631135,0.9999912886759369,0.07951135466516766,0.09471109764992046,0.0029515080807697236,1.0,0.20388264826842328,1802,2504,direct_injection,,,,0.9999999999999996,0.9912113253516642,,,3,1000,pde,0.2807213271123719,0.9911095569631135,0.9955448543200419,1.0,0.9999912886759369,0.9911095569631135,grid
neumann,7.8,4.1,0.6,24,100,injection,0,True,,0.7855464648747903,0.9999786378387794,0.061312160816962544,0.5224932275383656,0.004621971178237238,1.0,0.4095215398001808,1802,2504,direct_injection,,,,1.0,0.7858133007054574,,,3,1000,pde,0.21946195839734858,0.7855464648747903,0.8863105916521534,1.0,0.9999786378387794,0.7855464648747903,grid
neumann,7.8,4.1,0.6,48,100,injection,0,True,,0.9895688359940028,0.9999919847046134,0.08000165164536463,0.10266995743246399,0.0028311410476384983,1.0,0.572189494164203,1802,2504,direct_injection,,,,1.0,0.989713140636829,,,3,1000,pde,0.28136656037329877,0.9895688359940028,0.994770745445403,1.0,0.9999919847046134,0.9895688359940028,grid
neumann,7.8,4.1,0.675,24,100,injection,0,True,,0.7852179058541882,0.999978619417219,0.061338898739857164,0.5230027096881519,0.004623963659054222,1.0,1.692570386700593,1802,2504,direct_injection,,,,0.9999999999999996,0.7854853120776725,,,3,1000,pde,0.2194638959280381,0.7852179058541882,0.8861252201885398,1.0,0.999978619417219,0.7852179058541882,grid
neumann,7.8,4.1,0.675,48,100,injection,0,True,,0.9889422397297194,0.9999921337723492,0.08013383965304605,0.10574214641220879,0.0028046906297060884,1.0,2.2539901724234905,1802,2504,direct_injection,,,,0.9999999999999998,0.9890868146697833,,,3,1000,pde,0.281509749146678,0.9889422397297194,0.9944557505136764,1.0,0.9999921337723492,0.9889422397297194,grid
neumann,7.8,4.1,0.725,24,100,injection,0,True,,0.7852178344367008,0.9999786194154846,0.06133890516289184,0.5230028204245092,0.004623963846538577,1.0,2.453675597677094,1802,2504,direct_injection,,,,0.9999999999999996,0.7854852406705923,,,3,1000,pde,0.21946389743810732,0.7852178344367008,0.8861251798909118,1.0,0.9999786194154846,0.7852178344367008,grid
neumann,7.8,4.1,0.725,48,100,injection,0,True,,0.9889326325300337,0.9999921368366604,0.08013631149246303,0.10578858571707685,0.0028041442848212228,1.0,3.8765637600904213,1802,2504,direct_injection,,,,1.0000000000000009,0.9890772027981741,,,3,1000,pde,0.28151272348774625,0.9889326325300337,0.9944509201212666,1.0,0.9999921368366604,0.9889326325300337,grid
neumann,7.8,4.1,0.75,24,100,injection,0,True,,0.7852178344366634,0.999978619415485,0.06133890516289768,0.5230028204245678,0.004623963846538231,1.0,1.132519383471248,1802,2504,direct_injection,,,,0.9999999999999998,0.7854852406705506,,,3,1000,pde,0.21946389743811254,0.7852178344366634,0.8861251798908907,1.0,0.999978619415485,0.7852178344366634,grid
neumann,7.8,4.1,0.75,48,100,injection,0,True,,0.9889326308148031,0.999992136837875,0.08013631212816856,0.10578859400642364,0.002804144068120749,1.0,1.6751638039769638,1802,2504,direct_injection,,,,1.0,0.9890772010831249,,,3,1000,pde,0.2815127243602071,0.9889326308148031,0.9944509192588658,1.0,0.999992136837875,0.9889326308148031,grid
neumann,7.8,4.1,0.8,24,100,injection,0,True,,0.7852178344366646,0.999978619415485,0.06133890516289708,0.5230028204245656,0.004623963846536826,1.0,0.48194548996904985,1802,2504,direct_injection,,,,1.0,0.7854852406705518,,,3,1000,pde,0.21946389743811165,0.7852178344366646,0.8861251798908913,1.0,0.999978619415485,0.7852178344366646,grid
neumann,7.8,4.1,0.8,48,100,injection,0,True,,0.9889326308145338,0.9999921368378752,0.08013631212829352,0.10578859400772572,0.002804144068070008,1.0,0.6933944255740089,1802,2504,direct_injection,,,,1.0,0.9890772010828579,,,3,1000,pde,0.28151272436038827,0.9889326308145338,0.9944509192587303,1.0,0.9999921368378752,0.9889326308145338,grid
neumann,7.8,4.1,0.9,24,100,injection,0,True,,0.7852178344367008,0.9999786194154848,0.061338905162894405,0.5230028204245097,0.004623963846544073,1.0,0.15425826254419325,1802,2504,direct_injection,,,,0.9999999999999996,0.7854852406705927,,,3,1000,pde,0.21946389743811193,0.7852178344367008,0.8861251798909118,1.0,0.9999786194154848,0.7852178344367008,grid
neumann,7.8,4.1,0.9,48,100,injection,0,True,,0.9889326308145351,0.999992136837875,0.08013631212829553,0.10578859400771767,0.0028041440680708477,1.0,0.21672983021870326,1802,2504,direct_injection,,,,0.9999999999999998,0.9890772010828592,,,3,1000,pde,0.281512724360392,0.9889326308145351,0.994450919258731,1.0,0.999992136837875,0.9889326308145351,grid
neumann,7.8,4.19,0.3,24,100,injection,0,True,,0.9345788879480993,0.9999825675996108,0.057024066066970525,0.26457632393808894,0.004175249008452571,1.0,0.27836086111892394,1802,2504,direct_injection,,,,0.9999999999999993,0.9347415775458192,,,3,1000,pde,0.23085382442391605,0.9345788879480993,0.966736203908853,1.0,0.9999825675996108,0.9345788879480993,grid
neumann,7.8,4.19,0.3,48,100,injection,0,True,,0.9216860937098059,0.9999938482622991,0.09256188947711518,0.29149286315623835,0.0024802773121216782,1.0,0.3936601434151908,1802,2504,direct_injection,,,,1.0,0.9213919070163477,,,3,1000,pde,0.29208390290901187,0.9216860937098059,0.9600448394266832,1.0,0.9999938482622991,0.9216860937098059,grid
neumann,7.8,4.19,0.5,24,100,injection,0,True,,0.85274202785192,0.9999824249836192,0.06409568911511426,0.41555697272855757,0.004192293556834489,1.0,0.1698544732945837,1802,2504,direct_injection,,,,0.9999999999999991,0.8531434529704031,,,3,1000,pde,0.23378855385281114,0.85274202785192,0.9234403217598417,1.0,0.9999824249836192,0.85274202785192,grid
neumann,7.8,4.19,0.5,48,100,injection,0,True,,0.9554415600273164,0.9999930457840651,0.09454513410457546,0.21595483133325924,0.002637093911218428,1.0,0.23589394827956656,1802,2504,direct_injection,,,,1.0000000000000004,0.9554269996214849,,,3,1000,pde,0.30055340693771454,0.9554415600273164,0.9774669099398283,1.0,0.9999930457840651,0.9554415600273164,grid
neumann,7.8,4.19,0.6,24,100,injection,0,True,,0.8446548519992494,0.9999824165812077,0.0646753013559558,0.4288537440922714,0.004193295598250668,1.0,0.5274390349711444,1802,2504,direct_injection,,,,1.0,0.8450785719353516,,,3,1000,pde,0.23372699265344107,0.8446548519992494,0.9190510606050403,1.0,0.9999824165812077,0.8446548519992494,grid
neumann,7.8,4.19,0.6,48,100,injection,0,True,,0.9503301956591323,0.9999931404742867,0.09562486883990207,0.22861723098465997,0.0026190786102796614,1.0,0.7353393031386203,1802,2504,direct_injection,,,,1.0,0.9503412219096322,,,3,1000,pde,0.3014551381457994,0.9503301956591323,0.974848806563937,1.0,0.9999931404742867,0.9503301956591323,grid
neumann,7.8,4.19,0.675,24,100,injection,0,True,,0.8445223973822846,0.9999824190195922,0.0646863941871488,0.42907017928025465,0.0041930048299727695,1.0,8.260318409755353,1802,2504,direct_injection,,,,1.0,0.8449463459515723,,,3,1000,pde,0.23372870747288702,0.8445223973822846,0.9189789972476436,1.0,0.9999824190195922,0.8445223973822846,grid
neumann,7.8,4.19,0.675,48,100,injection,0,True,,0.9493739312990478,0.9999931415794352,0.09579455621768569,0.23092366995580227,0.002618867618482937,1.0,8.600312353481366,1802,2504,direct_injection,,,,0.9999999999999996,0.949385458831436,,,3,1000,pde,0.301570645841786,0.9493739312990478,0.9743582150826501,1.0,0.9999931415794352,0.9493739312990478,grid
neumann,7.8,4.19,0.725,24,100,injection,0,True,,0.8445223922629582,0.9999824190195746,0.06468639473150552,0.42907018764460425,0.004193004832134254,1.0,1.0968272192777027,1802,2504,direct_injection,,,,1.0000000000000004,0.844946340835634,,,3,1000,pde,0.23372870774792953,0.8445223922629582,0.9189789944623099,1.0,0.9999824190195746,0.8445223922629582,grid
neumann,7.8,4.19,0.725,48,100,injection,0,True,,0.9493701581680039,0.9999931414494356,0.09579539904720576,0.23093273400054073,0.0026188924384055725,1.0,1.627987606288328,1802,2504,direct_injection,,,,1.0,0.9493816893003952,,,3,1000,pde,0.3015713732190321,0.9493701581680039,0.9743562788672344,1.0,0.9999931414494356,0.9493701581680039,grid
neumann,7.8,4.19,0.75,24,100,injection,0,True,,0.8445223922629558,0.9999824190195744,0.06468639473150557,0.42907018764460786,0.0041930048321351795,1.0,0.6748392781747409,1802,2504,direct_injection,,,,1.0,0.8449463408356338,,,3,1000,pde,0.23372870774792928,0.8445223922629558,0.9189789944623086,1.0,0.9999824190195744,0.8445223922629558,grid
neumann,7.8,4.19,0.75,48,100,injection,0,True,,0.9493701581062105,0.9999931414494272,0.09579539906985139,0.2309327341489818,0.0026188924401104718,1.0,0.9780433475431086,1802,2504,direct_injection,,,,1.0,0.9493816892387522,,,3,1000,pde,0.3015713732448628,0.9493701581062105,0.9743562788355246,1.0,0.9999931414494272,0.9493701581062105,grid
neumann,7.8,4.19,0.8,24,100,injection,0,True,,0.844522392262956,0.9999824190195742,0.06468639473150524,0.4290701876446076,0.004193004832136974,1.0,0.276366908230191,1802,2504,direct_injection,,,,1.0,0.8449463408356328,,,3,1000,pde,0.23372870774792873,0.844522392262956,0.9189789944623087,1.0,0.9999824190195742,0.844522392262956,grid
