boundary_condition,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,snap_depth,valid,error,fidelity,fidelity_vs_truncated,postselection_probability,rel_error_vs_exact,rel_error_vs_truncated,oracle_fidelity,coeff_backend_gap,circuit_depth,circuit_size,oracle_apply_mode,oracle_n_active_fock_levels,oracle_n_jc_pulses,oracle_n_qubit_rotations,oracle_vs_ideal_fidelity,ideal_vs_reference_fidelity,snap_n_snap,snap_total_iterations,snap_restarts,snap_maxiter,score_objective,score_balanced,score_pde,score_prep_pde,score_oracle,score_truncated,score,source
periodic,7.8,4.0,0.3,24,100,injection,0,True,,0.8008630131846474,1.0,0.04785629975140066,0.498651175675772,2.404831693221477e-14,1.0,0.27942602398364935,802,1104,direct_injection,,,,0.9999999999999996,0.8008630131846576,,,3,1000,pde,0.1957711429674313,0.8008630131846474,0.8949094999968698,1.0,1.0,0.8008630131846474,grid
periodic,7.8,4.0,0.3,48,100,injection,0,True,,0.9817508309183217,1.0000000000000004,0.06105720613308071,0.136339252551655,2.0032562418959856e-14,1.0,0.3898203650313374,802,1104,direct_injection,,,,1.0000000000000009,0.9817508309183204,,,3,1000,pde,0.2448325200105232,0.9817508309183217,0.9908334022015617,1.0,1.0000000000000004,0.9817508309183217,grid
periodic,7.8,4.0,0.5,24,100,injection,0,True,,0.7586897417932188,1.0,0.05353003483476754,0.5639697189379329,2.735899206602461e-14,1.0,0.11982872046198771,802,1104,direct_injection,,,,1.0000000000000004,0.7586897417932383,,,3,1000,pde,0.2015258998416129,0.7586897417932188,0.8710279799140891,1.0,1.0,0.7586897417932188,grid
periodic,7.8,4.0,0.5,48,100,injection,0,True,,0.9340281561264648,0.9999999999999996,0.0666930151886114,0.26576594322288755,2.015678027602847e-14,1.0,0.17596920248095302,802,1104,direct_injection,,,,0.9999999999999996,0.9340281561264708,,,3,1000,pde,0.24958596515656287,0.9340281561264648,0.9664513211364889,1.0,0.9999999999999996,0.9340281561264648,grid
periodic,7.8,4.0,0.6,24,100,injection,0,True,,0.7592516799019967,1.0,0.05365932618759866,0.5631041809785996,2.0573401604217175e-14,1.0,0.3187235207886547,802,1104,direct_injection,,,,1.0000000000000004,0.759251679902,,,3,1000,pde,0.2018438345611366,0.7592516799019967,0.8713504919961867,1.0,1.0,0.7592516799019967,grid
periodic,7.8,4.0,0.6,48,100,injection,0,True,,0.9153905274699721,0.9999999999999996,0.06758431619180001,0.30402289263012217,2.0331180677223963e-14,1.0,0.44483164452194107,802,1104,direct_injection,,,,1.0,0.9153905274699793,,,3,1000,pde,0.24872885407107312,0.9153905274699721,0.9567604336875413,1.0,0.9999999999999996,0.9153905274699721,grid
periodic,7.8,4.0,0.675,24,100,injection,0,True,,0.7595539634828983,1.0,0.053653522891725605,0.5626385616431709,1.8743037292310938e-14,1.0,0.8654970720710534,802,1104,direct_injection,,,,1.0,0.759553963482905,,,3,1000,pde,0.20187309371788653,0.7595539634828983,0.8715239316753719,1.0,1.0,0.7595539634828983,grid
periodic,7.8,4.0,0.675,48,100,injection,0,True,,0.9122785078793145,0.9999999999999996,0.06772724862992036,0.31009108696948595,2.2339292969793753e-14,1.0,1.1971805075607262,802,1104,direct_injection,,,,0.9999999999999996,0.9122785078793213,,,3,1000,pde,0.2485681261201345,0.9122785078793145,0.9551327174164408,1.0,0.9999999999999996,0.9122785078793145,grid
periodic,7.8,4.0,0.725,24,100,injection,0,True,,0.7595540726294654,1.0,0.05365352831528087,0.5626383935177738,2.530351566750477e-14,1.0,7.735051378238508,802,1104,direct_injection,,,,1.0000000000000004,0.7595540726294817,,,3,1000,pde,0.20187311842544048,0.7595540726294654,0.8715239942935968,1.0,1.0,0.7595540726294654,grid
periodic,7.8,4.0,0.725,48,100,injection,0,True,,0.9122273729883109,1.0000000000000004,0.0677330379024486,0.3101901469296501,2.088501347502681e-14,1.0,8.492429928498394,802,1104,direct_injection,,,,1.0000000000000004,0.9122273729883186,,,3,1000,pde,0.2485717828520936,0.9122273729883109,0.9551059485671267,1.0,1.0000000000000004,0.9122273729883109,grid
periodic,7.8,4.0,0.75,24,100,injection,0,True,,0.7595540726280298,0.9999999999999998,0.053653528315419224,0.562638393519985,2.934135422109641e-14,1.0,3.105158070181871,802,1104,direct_injection,,,,1.0,0.759554072628052,,,3,1000,pde,0.20187311842551,0.7595540726280298,0.8715239942927732,1.0,0.9999999999999998,0.7595540726280298,grid
periodic,7.8,4.0,0.75,48,100,injection,0,True,,0.9122273538872858,1.0000000000000004,0.06773304859076615,0.3101901839288611,1.635476901823948e-14,1.0,4.99068297309302,802,1104,direct_injection,,,,1.0000000000000004,0.9122273538872903,,,3,1000,pde,0.2485717998620792,0.9122273538872858,0.9551059385676993,1.0,1.0000000000000004,0.9122273538872858,grid
periodic,7.8,4.0,0.8,24,100,injection,0,True,,0.7595540726280295,0.9999999999999998,0.053653528315419356,0.5626383935199853,2.933023463123254e-14,1.0,0.8344018710554683,802,1104,direct_injection,,,,0.9999999999999996,0.759554072628052,,,3,1000,pde,0.2018731184255102,0.7595540726280295,0.871523994292773,1.0,0.9999999999999998,0.7595540726280295,grid
periodic,7.8,4.0,0.8,48,100,injection,0,True,,0.9122273538698538,1.0,0.06773304860689593,0.31019018396262726,2.106861699795978e-14,1.0,1.2044367932053115,802,1104,direct_injection,,,,0.9999999999999996,0.9122273538698555,,,3,1000,pde,0.2485717998893013,0.9122273538698538,0.9551059385585736,1.0,1.0,0.9122273538698538,grid
periodic,7.8,4.0,0.9,24,100,injection,0,True,,0.759554072627496,0.9999999999999998,0.053653528315402654,0.5626383935208074,2.2959665842394705e-14,1.0,0.08366129132954327,802,1104,direct_injection,,,,0.9999999999999996,0.7595540726275051,,,3,1000,pde,0.2018731184254079,0.759554072627496,0.871523994292467,1.0,0.9999999999999998,0.759554072627496,grid
periodic,7.8,4.0,0.9,48,100,injection,0,True,,0.9122273538696328,0.9999999999999996,0.06773304860685374,0.31019018396305553,2.034432265165217e-14,1.0,0.20010751325243725,802,1104,direct_injection,,,,0.9999999999999996,0.9122273538696366,,,3,1000,pde,0.2485717998891938,0.9122273538696328,0.9551059385584579,1.0,0.9999999999999996,0.9122273538696328,grid
periodic,7.8,4.1,0.3,24,100,injection,0,True,,0.8842132199388034,0.9999999999999998,0.05052273445051225,0.36186867186246513,2.2041421024029246e-14,1.0,0.27953568473034185,802,1104,direct_injection,,,,1.0,0.8842132199388157,,,3,1000,pde,0.2113595744427031,0.8842132199388034,0.9403261242456276,1.0,0.9999999999999998,0.8842132199388034,grid
