boundary_condition,label,focus_n_coeff,beta_focus,r_target,r_prime,fidelity,infidelity,is_best_surface_point
dirichlet,Dirichlet,48,0.5,7.8,4.0,0.964054060525408,0.035945939474592015,False
dirichlet,Dirichlet,48,0.5,7.9,4.0,0.9614916569651513,0.038508343034848735,False
dirichlet,Dirichlet,48,0.5,8.0,4.0,0.9497832364243216,0.05021676357567839,False
dirichlet,Dirichlet,48,0.5,8.1,4.0,0.9265787036129722,0.07342129638702777,False
dirichlet,Dirichlet,48,0.5,8.16,4.0,0.9066856883826527,0.09331431161734727,False
dirichlet,Dirichlet,48,0.5,8.2,4.0,0.8910411703820752,0.1089588296179248,False
dirichlet,Dirichlet,48,0.5,8.3,4.0,0.8451287754291903,0.1548712245708097,False
dirichlet,Dirichlet,48,0.5,8.4,4.0,0.794019551122556,0.20598044887744404,False
dirichlet,Dirichlet,48,0.5,7.8,4.1,0.9968232437760232,0.00317675622397684,False
dirichlet,Dirichlet,48,0.5,7.9,4.1,0.9989610514553566,0.00103894854464337,True
dirichlet,Dirichlet,48,0.5,8.0,4.1,0.9976551686488184,0.0023448313511815755,False
dirichlet,Dirichlet,48,0.5,8.1,4.1,0.9920514670180982,0.00794853298190179,False
dirichlet,Dirichlet,48,0.5,8.16,4.1,0.9862285081556679,0.013771491844332129,False
dirichlet,Dirichlet,48,0.5,8.2,4.1,0.9812113660296736,0.018788633970326374,False
dirichlet,Dirichlet,48,0.5,8.3,4.1,0.9645608981499606,0.0354391018500394,False
dirichlet,Dirichlet,48,0.5,8.4,4.1,0.9425928810517433,0.057407118948256675,False
dirichlet,Dirichlet,48,0.5,7.8,4.19,0.9929194154274321,0.007080584572567883,False
dirichlet,Dirichlet,48,0.5,7.9,4.19,0.9943003225595193,0.0056996774404807216,False
dirichlet,Dirichlet,48,0.5,8.0,4.19,0.9951489957966619,0.004851004203338061,False
dirichlet,Dirichlet,48,0.5,8.1,4.19,0.9953483896402301,0.004651610359769909,False
dirichlet,Dirichlet,48,0.5,8.16,4.19,0.9949970252534422,0.005002974746557753,False
dirichlet,Dirichlet,48,0.5,8.2,4.19,0.9944917915002308,0.005508208499769185,False
dirichlet,Dirichlet,48,0.5,8.3,4.19,0.9919877117226638,0.008012288277336244,False
dirichlet,Dirichlet,48,0.5,8.4,4.19,0.9872925953437005,0.012707404656299492,False
dirichlet,Dirichlet,48,0.5,7.8,4.25,0.9808337950804009,0.019166204919599084,False
dirichlet,Dirichlet,48,0.5,7.9,4.25,0.9824732707110425,0.017526729288957488,False
dirichlet,Dirichlet,48,0.5,8.0,4.25,0.9847786294771504,0.015221370522849553,False
dirichlet,Dirichlet,48,0.5,8.1,4.25,0.9876229837991706,0.012377016200829427,False
dirichlet,Dirichlet,48,0.5,8.16,4.25,0.9894092943239463,0.010590705676053691,False
dirichlet,Dirichlet,48,0.5,8.2,4.25,0.9905488781327858,0.009451121867214196,False
dirichlet,Dirichlet,48,0.5,8.3,4.25,0.9928702836667123,0.007129716333287739,False
dirichlet,Dirichlet,48,0.5,8.4,4.25,0.9938526120857475,0.006147387914252511,False
dirichlet,Dirichlet,48,0.5,7.8,4.35,0.9642109202133917,0.03578907978660828,False
dirichlet,Dirichlet,48,0.5,7.9,4.35,0.9659689203191236,0.034031079680876375,False
dirichlet,Dirichlet,48,0.5,8.0,4.35,0.9688336749601908,0.031166325039809206,False
dirichlet,Dirichlet,48,0.5,8.1,4.35,0.9728288823104329,0.027171117689567148,False
dirichlet,Dirichlet,48,0.5,8.16,4.35,0.9756995218896668,0.0243004781103332,False
dirichlet,Dirichlet,48,0.5,8.2,4.35,0.9777670774770049,0.022232922522995135,False
dirichlet,Dirichlet,48,0.5,8.3,4.35,0.9832521997873391,0.01674780021266087,False
dirichlet,Dirichlet,48,0.5,8.4,4.35,0.9887160384016118,0.011283961598388181,False
dirichlet,Dirichlet,48,0.5,7.8,4.5,0.9124990060650892,0.08750099393491084,False
dirichlet,Dirichlet,48,0.5,7.9,4.5,0.9162356990238535,0.08376430097614651,False
dirichlet,Dirichlet,48,0.5,8.0,4.5,0.9219424567334832,0.07805754326651682,False
dirichlet,Dirichlet,48,0.5,8.1,4.5,0.9292893861611381,0.0707106138388619,False
dirichlet,Dirichlet,48,0.5,8.16,4.5,0.9343164771608828,0.06568352283911716,False
dirichlet,Dirichlet,48,0.5,8.2,4.5,0.9378627034253415,0.062137296574658496,False
dirichlet,Dirichlet,48,0.5,8.3,4.5,0.947148998410514,0.05285100158948597,False
dirichlet,Dirichlet,48,0.5,8.4,4.5,0.9565168443916259,0.043483155608374124,False
neumann,Neumann,48,0.3,7.8,4.0,0.996667690097282,0.0033323099027180447,False
neumann,Neumann,48,0.3,7.9,4.0,0.9997155021219948,0.00028449787800521875,True
neumann,Neumann,48,0.3,8.0,4.0,0.9956245349138182,0.004375465086181807,False
neumann,Neumann,48,0.3,8.1,4.0,0.9797793163854973,0.020220683614502688,False
neumann,Neumann,48,0.3,8.16,4.0,0.9630154565724866,0.03698454342751345,False
neumann,Neumann,48,0.3,8.2,4.0,0.9485476366860031,0.05145236331399694,False
neumann,Neumann,48,0.3,8.3,4.0,0.9012964350351427,0.09870356496485733,False
neumann,Neumann,48,0.3,8.4,4.0,0.8416379271488463,0.15836207285115367,False
neumann,Neumann,48,0.3,7.8,4.1,0.9654228999706196,0.034577100029380414,False
neumann,Neumann,48,0.3,7.9,4.1,0.9746832215033879,0.02531677849661207,False
neumann,Neumann,48,0.3,8.0,4.1,0.9844736188446874,0.015526381155312574,False
neumann,Neumann,48,0.3,8.1,4.1,0.9921208299697296,0.007879170030270388,False
neumann,Neumann,48,0.3,8.16,4.1,0.9942380901221773,0.005761909877822657,False
neumann,Neumann,48,0.3,8.2,4.1,0.9941376692063812,0.005862330793618753,False
neumann,Neumann,48,0.3,8.3,4.1,0.9871877664221206,0.012812233577879417,False
neumann,Neumann,48,0.3,8.4,4.1,0.9694329659370243,0.030567034062975673,False
neumann,Neumann,48,0.3,7.8,4.19,0.9216860937098059,0.07831390629019408,False
neumann,Neumann,48,0.3,7.9,4.19,0.9309069150075643,0.06909308499243572,False
