source,valid,error,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,fidelity,post_prob,mo_score,mo_phys_score,pareto_rank,energy_nbar_target,energy_nbar_prime,energy_log_total,energy_penalty,rel_error,eta_real,eta_imag,prep_fidelity,circuit_depth,circuit_size,runtime_sec,optimizer,seed_rank,seed_method,seed_n_coeff,seed_n_trotter,seed_fidelity,seed_post_prob,seed_mo_score,seed_mo_phys_score,opt_success,opt_message,opt_fun,opt_nfev
grid,True,,0.5,0.01,0.3,24,100,injection,0.0044124599255977405,0.00018418667323539465,0.0009015078005654443,0.0009015078005654443,58,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,15.02101705779016,0.002135293869083428,-1.5387209530837175e-17,1.0,1502,2304,3.5930207910132594,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,24,200,injection,0.004407599463648781,0.00018448852415899058,0.0009017491447916776,0.0009017491447916776,58,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,15.029333644254628,0.002135865512330762,-3.110277758003338e-17,1.0,3002,4604,7.083335625007749,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,48,100,injection,0.0014275365236273993,3.4637016407760367e-09,2.2236367956921254e-06,2.2236367956921254e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,26.448203550554922,-5.266862931115613e-06,5.536299375083233e-19,1.0,1502,2304,3.861675207997905,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,48,200,injection,0.001392387421745315,3.47468313495044e-09,2.199569296852357e-06,2.199569296852357e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,26.780420413877057,-5.209857120756032e-06,1.0670795888561282e-18,1.0,3002,4604,7.485243957984494,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,24,100,injection,0.04388342264340485,9.420717592483537e-05,0.0020332568251824816,0.0020332568251824816,53,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,4.667724099402092,0.004815932630156994,-1.819018089350326e-16,1.0,1502,2304,3.693291625007987,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,24,200,injection,0.043804921786086644,9.436221589854504e-05,0.0020331083313482306,0.0020331083313482306,53,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,4.672096424714462,0.004815580910544944,-3.4626911911926664e-16,1.0,3002,4604,7.6619141249975655,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,48,100,injection,0.0006639563722468208,7.432237714088276e-10,7.02472888467737e-07,7.02472888467737e-07,61,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,38.795915446975116,-1.6638636415588046e-06,2.1259945308114213e-19,1.0,1502,2304,3.9024627909820992,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,48,200,injection,0.0006417074837120895,7.455675526134484e-10,6.916908833611709e-07,6.916908833611709e-07,61,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,39.46317816335315,-1.6383255936505755e-06,4.4078812420581035e-19,1.0,3002,4604,8.012599208013853,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,24,100,injection,0.20479250857714695,3.180539398742217e-05,0.0025521572092974,0.0025521572092974,42,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,1.970530668620217,0.006044990002894816,-3.51741633328228e-16,1.0,1502,2304,3.881934250006452,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,24,200,injection,0.20451501685164858,3.1832323382705504e-05,0.002551507035663657,0.002551507035663657,42,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,1.9722110677158424,0.0060434500142523455,-7.004313456124606e-16,1.0,3002,4604,7.74946504199761,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,48,100,injection,0.002880859117164716,1.6114605922435424e-09,2.1546208341878766e-06,2.1546208341878766e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,18.604264971632794,5.1033930649907824e-06,-4.453850700904518e-19,1.0,1502,2304,3.960656500014011,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,48,200,injection,0.00282749172522443,1.6165302589741785e-09,2.137925613959568e-06,2.137925613959568e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,18.77951954164329,5.063849090580208e-06,-8.978966374178142e-19,1.0,3002,4604,8.191803583002184,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,24,100,injection,0.05538672122205922,0.00019838753917142665,0.0033148205571370166,0.0033148205571370166,52,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,4.129754117638352,0.00785141959761949,-5.065709748867581e-16,1.0,1502,2304,3.7893308339989744,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,24,200,injection,0.055288851552691996,0.00019863546489732917,0.003313959373892262,0.003313959373892262,52,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,4.133621769606566,0.007849379815710199,-1.0084448102116372e-15,1.0,3002,4604,7.85604495802545,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,48,100,injection,0.017768593252135683,4.005678728825131e-11,8.436544081033754e-07,8.436544081033754e-07,56,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,7.434989941781597,1.9982634472141427e-06,-1.3378751120440396e-19,1.0,1502,2304,4.1212541249988135,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,48,200,injection,0.01762594936882009,4.0164338432437394e-11,8.413884926966237e-07,8.413884926966237e-07,56,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,7.465556419496877,1.992896443985922e-06,-2.711667886496306e-19,1.0,3002,4604,7.7038232080230955,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,24,100,injection,0.032040272738054924,4.0088792209292266e-05,0.0011333383590635833,0.0011333383590635833,54,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,5.496427984453979,0.002684403227778683,-8.241328858942637e-17,1.0,1502,2304,3.826755833986681,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,24,200,injection,0.031998921662643835,4.015589278530969e-05,0.0011335542631610758,0.0011335542631610758,54,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,5.5000957354678635,0.0026849146140311333,-1.8950011905378932e-16,1.0,3002,4604,7.37897887500003,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,48,100,injection,0.0007202542596333234,5.311745266074383e-10,6.185310949319537e-07,6.185310949319537e-07,61,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,37.24779982844406,-1.4650407395446342e-06,1.8996567587025763e-19,1.0,1502,2304,3.793745917006163,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,48,200,injection,0.000697014362881852,5.32839037369075e-10,6.094230567925578e-07,6.094230567925578e-07,61,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,37.86410787659603,-1.4434676172863168e-06,3.5761222257278377e-19,1.0,3002,4604,7.402536458015675,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.99,24,100,injection,0.0011626692463789087,0.00017039929902112983,0.0004451045097237179,0.0004451045097237179,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,29.310234300688016,0.0010542658977751628,4.4678815382720746e-17,1.0,1502,2304,3.72172566599329,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.99,24,200,injection,0.0011631217215977824,0.00017066063251527634,0.00044553236549114446,0.00044553236549114446,59,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,29.304526005097795,0.0010552793086369009,9.934012959783263e-17,1.0,3002,4604,7.281713124975795,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.99,48,100,injection,0.0020186514771800015,3.2380578204172544e-09,2.5566599700350353e-06,2.5566599700350353e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,22.234662435599834,6.055655154534092e-06,-5.740867038413161e-19,1.0,1502,2304,3.835586874978617,,,,,,,,,,,,,
grid,True,,0.5,0.01,0.99,48,200,injection,0.001975805001768659,3.2482563960495366e-09,2.533361646970624e-06,2.533361646970624e-06,60,0.2715403174076219,0.00010000333337777811,0.24030765821883485,0.0,22.47493760551673,6.0004711989785665e-06,-1.141789496851376e-18,1.0,3002,4604,7.455596999992849,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.3,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.3,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.3,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.3,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.45,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.45,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.45,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.45,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.6,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.6,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.6,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.6,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.75,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.75,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.75,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.75,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.9,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.9,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.9,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.9,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.99,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.99,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.99,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,0.5,0.99,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.3,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.3,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.3,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.3,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.45,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.45,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.45,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.45,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.6,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.6,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.6,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.6,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.75,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.75,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.75,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.75,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.9,24,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.9,24,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.9,48,100,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grid,False,invalid_lchs_constraints,0.5,1.0,0.9,48,200,injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
