source,valid,error,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,fidelity,post_prob,mo_score,pareto_rank,rel_error,eta_real,eta_imag,prep_fidelity,circuit_depth,circuit_size,runtime_sec,optimizer,seed_rank,seed_method,seed_n_coeff,seed_n_trotter,seed_fidelity,seed_post_prob,seed_mo_score,opt_success,opt_message,opt_fun,opt_nfev
grid,True,,0.5,0.01,0.3,24,100,injection,0.0044124599255977405,0.00018418667323539465,0.0009015078005654443,58,15.02101705779016,0.002135293869083428,-1.5387209530837175e-17,1.0,1502,2304,3.542727708001621,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,24,200,injection,0.004407599463648781,0.00018448852415899058,0.0009017491447916776,58,15.029333644254628,0.002135865512330762,-3.110277758003338e-17,1.0,3002,4604,7.014288625010522,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,48,100,injection,0.0014275365236273993,3.4637016407760367e-09,2.2236367956921254e-06,60,26.448203550554922,-5.266862931115613e-06,5.536299375083233e-19,1.0,1502,2304,3.8057971249800175,,,,,,,,,,,,
grid,True,,0.5,0.01,0.3,48,200,injection,0.001392387421745315,3.47468313495044e-09,2.199569296852357e-06,60,26.780420413877057,-5.209857120756032e-06,1.0670795888561282e-18,1.0,3002,4604,7.304415584017988,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,24,100,injection,0.04388342264340485,9.420717592483537e-05,0.0020332568251824816,53,4.667724099402092,0.004815932630156994,-1.819018089350326e-16,1.0,1502,2304,3.6637923330126796,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,24,200,injection,0.043804921786086644,9.436221589854504e-05,0.0020331083313482306,53,4.672096424714462,0.004815580910544944,-3.4626911911926664e-16,1.0,3002,4604,7.224102084001061,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,48,100,injection,0.0006639563722468208,7.432237714088276e-10,7.02472888467737e-07,61,38.795915446975116,-1.6638636415588046e-06,2.1259945308114213e-19,1.0,1502,2304,3.827134457998909,,,,,,,,,,,,
grid,True,,0.5,0.01,0.45,48,200,injection,0.0006417074837120895,7.455675526134484e-10,6.916908833611709e-07,61,39.46317816335315,-1.6383255936505755e-06,4.4078812420581035e-19,1.0,3002,4604,7.346342166012619,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,24,100,injection,0.20479250857714695,3.180539398742217e-05,0.0025521572092974,42,1.970530668620217,0.006044990002894816,-3.51741633328228e-16,1.0,1502,2304,3.6788636250130367,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,24,200,injection,0.20451501685164858,3.1832323382705504e-05,0.002551507035663657,42,1.9722110677158424,0.0060434500142523455,-7.004313456124606e-16,1.0,3002,4604,8.143993083009264,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,48,100,injection,0.002880859117164716,1.6114605922435424e-09,2.1546208341878766e-06,60,18.604264971632794,5.1033930649907824e-06,-4.453850700904518e-19,1.0,1502,2304,3.8197680829907767,,,,,,,,,,,,
grid,True,,0.5,0.01,0.6,48,200,injection,0.00282749172522443,1.6165302589741785e-09,2.137925613959568e-06,60,18.77951954164329,5.063849090580208e-06,-8.978966374178142e-19,1.0,3002,4604,8.465936458000215,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,24,100,injection,0.05538672122205922,0.00019838753917142665,0.0033148205571370166,52,4.129754117638352,0.00785141959761949,-5.065709748867581e-16,1.0,1502,2304,3.86302733302,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,24,200,injection,0.055288851552691996,0.00019863546489732917,0.003313959373892262,52,4.133621769606566,0.007849379815710199,-1.0084448102116372e-15,1.0,3002,4604,7.856561791006243,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,48,100,injection,0.017768593252135683,4.005678728825131e-11,8.436544081033754e-07,56,7.434989941781597,1.9982634472141427e-06,-1.3378751120440396e-19,1.0,1502,2304,3.9074756250192877,,,,,,,,,,,,
grid,True,,0.5,0.01,0.75,48,200,injection,0.01762594936882009,4.0164338432437394e-11,8.413884926966237e-07,56,7.465556419496877,1.992896443985922e-06,-2.711667886496306e-19,1.0,3002,4604,7.53223395900568,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,24,100,injection,0.032040272738054924,4.0088792209292266e-05,0.0011333383590635833,54,5.496427984453979,0.002684403227778683,-8.241328858942637e-17,1.0,1502,2304,3.804210292000789,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,24,200,injection,0.031998921662643835,4.015589278530969e-05,0.0011335542631610758,54,5.5000957354678635,0.0026849146140311333,-1.8950011905378932e-16,1.0,3002,4604,7.5565954170015175,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,48,100,injection,0.0007202542596333234,5.311745266074383e-10,6.185310949319537e-07,61,37.24779982844406,-1.4650407395446342e-06,1.8996567587025763e-19,1.0,1502,2304,3.828425415995298,,,,,,,,,,,,
grid,True,,0.5,0.01,0.9,48,200,injection,0.000697014362881852,5.32839037369075e-10,6.094230567925578e-07,61,37.86410787659603,-1.4434676172863168e-06,3.5761222257278377e-19,1.0,3002,4604,7.553710665990366,,,,,,,,,,,,
