source,valid,error,r_target,r_prime,beta,n_coeff,n_trotter_steps,state_prep_method,fidelity,post_prob,mo_score,pareto_rank,rel_error,eta_real,eta_imag,prep_fidelity,circuit_depth,circuit_size,runtime_sec,optimizer,seed_rank,seed_method,seed_n_coeff,seed_n_trotter,seed_fidelity,seed_post_prob,seed_mo_score,opt_success,opt_message,opt_fun,opt_nfev
local_search,True,,1.9962962962962965,1.094444444444444,0.7097222222222221,24,100,injection,0.5430025940125884,0.729936091545343,0.6295690519494518,1,0.9173940420706729,1.4911850301784932,-8.739424684248258e-14,1.0,1502,2304,3.68251645800774,Nelder-Mead,1,injection,24,100,0.5440086024975846,0.715299879251036,0.6238022825207096,False,Maximum number of function evaluations has been exceeded.,0.3704309480505482,18
local_search,True,,1.953703703703704,0.9972222222222227,0.6783333333333337,24,100,injection,0.5368874713764857,0.7364474144270431,0.6287999603478724,1,0.9287559954717322,1.489363374746798,-8.722140765286385e-14,1.0,1502,2304,3.6535533330170438,Nelder-Mead,2,injection,24,100,0.5218046030151315,0.7425720374420258,0.6224769129916174,False,Maximum number of function evaluations has been exceeded.,0.37120003965212756,18
local_search,True,,1.9499973578220493,1.0,0.75,24,100,injection,0.5478892424562678,0.7144703105570142,0.6256601291504653,1,0.9083977162469673,1.481926431548331,-8.595471084656165e-14,1.0,1502,2304,3.6589583749882877,Powell,1,injection,24,100,0.5440086024975846,0.715299879251036,0.6238022825207096,False,Maximum number of function evaluations has been exceeded.,0.3743398708495347,18
local_search,True,,1.959936069204421,1.0,0.6,24,100,injection,0.5241613114669185,0.7426196584122879,0.6239010290699157,1,0.9527904462194237,1.4777598612593712,-8.723981321170322e-14,1.0,1502,2304,3.8641406669921707,Powell,2,injection,24,100,0.5218046030151315,0.7425720374420258,0.6224769129916174,False,Maximum number of function evaluations has been exceeded.,0.37609897093008426,18
grid,True,,2.0,1.0,0.75,24,100,injection,0.5440086024975846,0.715299879251036,0.6238022825207096,1,0.9155360319508652,1.4775259721005851,-8.604948963806853e-14,1.0,1502,2304,3.6696591249783523,,,,,,,,,,,,
grid,True,,2.0,1.0,0.9,24,100,injection,0.5671842555446788,0.5763511489965033,0.5717493308923955,1,0.8735533668867441,1.3542343617452222,-7.824805226901659e-14,1.0,1502,2304,3.8574722920020577,,,,,,,,,,,,
grid,True,,2.0,1.0,0.99,24,100,injection,0.5696394247477824,0.29944859748979424,0.4130105650169456,1,0.869192999970672,0.978248803609043,-5.5626162173420526e-14,1.0,1502,2304,3.7667318749881815,,,,,,,,,,,,
grid,True,,5.0,3.0,0.3,48,200,injection,0.9450877877860263,0.15384478204190602,0.3813093556712297,1,0.2410451482463951,0.903161934792179,-7.952407541593839e-14,1.0,3002,4604,7.388112542015733,,,,,,,,,,,,
grid,True,,5.0,3.0,0.3,48,100,injection,0.945442826787875,0.1536009575196869,0.3810786316165432,1,0.24021951977255715,0.9026154462769237,-3.992614756437943e-14,1.0,1502,2304,4.030561416991986,,,,,,,,,,,,
grid,True,,5.0,4.0,0.3,24,200,injection,0.9582758117121897,0.1498684634271854,0.378966124397346,1,0.20866455584719046,0.8976118027025508,-8.10063465072688e-14,1.0,3002,4604,7.198185832996387,,,,,,,,,,,,
grid,True,,5.0,4.0,0.3,24,100,injection,0.9585722887346046,0.14962312500957697,0.37871437969537686,1,0.2078897301119534,0.8970155250903641,-3.952545662540323e-14,1.0,1502,2304,3.645532374997856,,,,,,,,,,,,
grid,True,,5.0,4.0,0.3,48,200,injection,0.9602734033253009,0.13217962260253252,0.3562703693079004,1,0.20339638525818532,0.8438550779506231,-7.789436542778801e-14,1.0,3002,4604,7.207901875022799,,,,,,,,,,,,
grid,True,,5.0,4.0,0.3,48,100,injection,0.9605244385393322,0.1319747645870259,0.3560407092683554,1,0.20272623197318326,0.8433111096409688,-3.892824853135727e-14,1.0,1502,2304,3.8327824590087403,,,,,,,,,,,,
grid,True,,2.0,1.0,0.75,24,200,injection,0.5439405535181381,0.7152886872329255,0.6237583862832947,2,0.9156616144694416,1.4774220003251117,-1.7105463910868652e-13,1.0,3002,4604,7.109867374994792,,,,,,,,,,,,
grid,True,,2.0,1.0,0.6,24,100,injection,0.5218046030151315,0.7425720374420258,0.6224769129916174,2,0.957301507387813,1.4743867275727336,-8.652044786588719e-14,1.0,1502,2304,3.7483533330087084,,,,,,,,,,,,
