case,beta,M_DV,Q,c_l1,eps_F_DV,p_DV_basis1,inv_p_DV_basis1,p_DV_min,p_DV_max,norm_Kdv_u0_sq
heat_m4_dirichlet,0.6,320,4,0.9357133460840279,0.12819868402538204,0.2547659604894471,3.9251711573980934,0.11705574693641602,0.25476596048944716,0.22306274833124887
heat_m4_neumann,0.9,192,4,1.2073344670491402,0.16480915313753217,0.2470038969604268,4.0485191217862155,0.2470038969604267,0.3615815454294163,0.3600468397149894
heat_m4_periodic,0.8,248,4,1.074010710134734,0.043845393335564385,0.24327744958070677,4.110533063066547,0.2432774495807067,0.2432774495807068,0.28062029614805734
heat_m8_dirichlet,0.6,344,4,0.9364092636386955,0.0814195143659486,0.23087187299477024,4.33140679732196,0.10996540106830678,0.26144959437930965,0.20244284364389742
heat_m16_dirichlet,0.6,352,4,0.9366581207367278,0.07924755208545178,0.23052730666743323,4.337880897739525,0.10980985585396569,0.2615563157138768,0.20224816121605266
heat_m32_dirichlet,0.6,352,4,0.9349588193342521,0.07978313686378714,0.23156931367033054,4.318361462277475,0.11031276886941402,0.26240165342968935,0.20242585098234891
advdiff_m8,0.6,344,4,0.9364092636386955,0.0809929594884597,0.2609385421698971,3.8323200232677777,0.05519880194535392,0.26093854216989715,0.22880717260159109
advdiff_m16,0.6,352,4,0.9366581207367278,0.07940976620365127,0.2609890514896835,3.8315783527782528,0.05535579017176044,0.26098905148968343,0.22897311613265417
advdiff_m32,0.6,352,4,0.9349588193342521,0.07986116924933995,0.2620980653677561,3.8153658196479854,0.05561374024147232,0.26209806536775615,0.22911249803342565
heat_2d_4x4,0.6,632,4,0.9322969756455747,0.0986591293068009,0.020035415393247123,49.91161802100929,0.009968398401390827,0.03816086327695405,0.01741433528426232
