boundary,gamma,n_mean,n2_sqrt,kraus_branches,kraus_mass,p_succ,one_minus_F,eps_F_coherent,coherent_distortion,state_deviation,state_bound,incoherent_fraction,eps_F_ideal
dirichlet,0.0005,1.6067578628749124,6.71696070437158,5,0.9999999999994167,0.10479379589606878,4.5890402138426545e-05,0.006687756058771786,0.00022706903182240524,0.0016718844603338975,0.001679240176092895,3.2270947930235216e-05,0.006693951389846737
dirichlet,0.001,1.6067578628749124,6.71696070437158,6,0.9999999999998805,0.10480551255409612,7.791102632315194e-05,0.006688165161395048,0.0004542314138670225,0.003329154443510484,0.00335848035218579,6.455603142474509e-05,0.006693951389846737
dirichlet,0.002,1.6067578628749124,6.71696070437158,7,0.9999999999999176,0.10483010772602211,0.00014234978720251146,0.0067088704745602275,0.0009088610905058168,0.0066004269605610105,0.00671696070437158,0.00012922163329809333,0.006693951389846737
dirichlet,0.005,1.6067578628749124,6.71696070437158,9,0.9999999999999769,0.10491291210249643,0.0003386802803341249,0.006928042791984287,0.002275576185805431,0.01607821904475142,0.01679240176092895,0.0003248483111168987,0.006693951389846737
dirichlet,0.01,1.6067578628749124,6.71696070437158,10,0.9999999999996221,0.10507915267957123,0.0006748589673855054,0.007768339848614652,0.004564742496189474,0.030818791215442162,0.0335848035218579,0.000661056958991546,0.006693951389846737
dirichlet,0.02,1.6067578628749124,6.71696070437158,13,0.9999999999999347,0.10550403704518498,0.0013730738118834518,0.010679645530548263,0.009191302538088003,0.056780379268126596,0.0671696070437158,0.0013936545645374387,0.006693951389846737
dirichlet,0.05,1.6067578628749124,6.71696070437158,17,0.9999999999993642,0.10727321510365143,0.0035461656305375566,0.02295115385755494,0.023336629775790936,0.11348911119228476,0.16792401760928952,0.0040975021717611915,0.006693951389846737
neumann,0.0005,1.6067578628749124,6.71696070437158,5,0.9999999999994167,0.1643962998723115,4.7414714857474394e-05,0.004828058618217051,0.0005723039327146293,0.0016718844603338975,0.001679240176092895,3.687022021814368e-05,0.004837528127526389
neumann,0.001,1.6067578628749124,6.71696070437158,6,0.9999999999998805,0.1642121118325899,7.348210926894083e-05,0.004885808188359726,0.0011422129361930607,0.003329154443510484,0.00335848035218579,7.485527822226334e-05,0.004837528127526389
neumann,0.002,1.6067578628749124,6.71696070437158,7,0.9999999999999176,0.16384696436414664,0.00012663081565111867,0.005188252007679512,0.0022749092378884727,0.0066004269605610105,0.00671696070437158,0.00015412404076764474,0.004837528127526389
neumann,0.005,1.6067578628749124,6.71696070437158,9,0.9999999999999769,0.16277674396443154,0.00029364727912539745,0.0071336797740165535,0.0056171375377662685,0.01607821904475142,0.01679240176092895,0.000417476879970069,0.004837528127526389
neumann,0.01,1.6067578628749124,6.71696070437158,10,0.9999999999996221,0.16107319144470342,0.0005940214065893734,0.011692469819294928,0.011008462158485938,0.030818791215442162,0.0335848035218579,0.0009358122262181912,0.004837528127526389
neumann,0.02,1.6067578628749124,6.71696070437158,13,0.9999999999999347,0.1579391730612898,0.0012579449213764304,0.021369961558715053,0.021169415278326588,0.056780379268126596,0.0671696070437158,0.0022273499448794976,0.004837528127526389
neumann,0.05,1.6067578628749124,6.71696070437158,17,0.9999999999993642,0.1502721824596384,0.0035244892978804065,0.04741150136287797,0.04751036853995988,0.11348911119228476,0.16792401760928952,0.00740511242663755,0.004837528127526389
periodic,0.0005,1.6067578628749124,6.71696070437158,5,0.9999999999994167,0.15342768793882278,6.514435385496231e-05,0.004835741246435398,0.0006429493415713764,0.0016718844603338975,0.001679240176092895,5.212944163957012e-05,0.004690918169360335
periodic,0.001,1.6067578628749124,6.71696070437158,6,0.9999999999998805,0.15324020956629328,0.00010915074247741519,0.005058320152954894,0.001283282718381445,0.003329154443510484,0.00335848035218579,0.00010552031988009247,0.004690918169360335
periodic,0.002,1.6067578628749124,6.71696070437158,7,0.9999999999999176,0.15286850898895815,0.00019755832611745294,0.005693739787492325,0.002556168831726137,0.0066004269605610105,0.00671696070437158,0.00021603468420161587,0.004690918169360335
periodic,0.005,1.6067578628749124,6.71696070437158,9,0.9999999999999769,0.15177882442824478,0.0004656039452155536,0.008464014456919479,0.006313769653380321,0.01607821904475142,0.01679240176092895,0.00057649274401117,0.004690918169360335
periodic,0.01,1.6067578628749124,6.71696070437158,10,0.9999999999996221,0.1500433295229064,0.0009197341755260435,0.01396593787894422,0.012380548518486138,0.030818791215442162,0.0335848035218579,0.0012672298364353463,0.004690918169360335
periodic,0.02,1.6067578628749124,6.71696070437158,13,0.9999999999999347,0.14684634034804547,0.0018433055417890198,0.0251062422492167,0.023832830643228203,0.056780379268126596,0.0671696070437158,0.0029384140091082145,0.004690918169360335
periodic,0.05,1.6067578628749124,6.71696070437158,17,0.9999999999993642,0.13898488106303897,0.004586080105841384,0.05480531050446454,0.05363451332681934,0.11348911119228476,0.16792401760928952,0.009449157291853805,0.004690918169360335
